id,codigo,nome,uf
442,120001,ACRELANDIA,AC
443,120010,BRASILEIA,AC
444,120017,CAPIXABA,AC
445,120025,EPITACIOLANDIA,AC
446,120032,JORDAO,AC
447,120039,PORTO WALTER,AC
448,120040,RIO BRANCO,AC
449,120043,SANTA ROSA DO PURUS,AC
450,120045,SENADOR GUIOMARD,AC
451,120070,XAPURI,AC
1331,120005,ASSIS BRASIL,AC
1379,120038,PLACIDO DE CASTRO,AC
1823,120060,TARAUACA,AC
1917,120033,MANCIO LIMA,AC
2682,120013,BUJARI,AC
2683,120030,FEIJO,AC
2684,120035,MARECHAL THAUMATURGO,AC
2685,120042,RODRIGUES ALVES,AC
2686,120050,SENA MADUREIRA,AC
2687,120080,PORTO ACRE,AC
5400,120034,MANOEL URBANO,AC
5418,120020,CRUZEIRO DO SUL,AC
