id,codigo,nome,uf
320,270350,JACUIPE,AL
321,270360,JAPARATINGA,AL
322,270370,JARAMATAIA,AL
323,270420,LIMOEIRO DE ANADIA,AL
324,270450,MARAGOGI,AL
325,270460,MARAVILHA,AL
326,270480,MARIBONDO,AL
327,270490,MAR VERMELHO,AL
328,270520,MESSIAS,AL
329,270540,MONTEIROPOLIS,AL
330,270550,MURICI,AL
331,270570,OLHO D'AGUA DAS FLORES,AL
332,270580,OLHO D'AGUA DO CASADO,AL
333,270600,OLIVENCA,AL
334,270610,OURO BRANCO,AL
335,270640,PAO DE ACUCAR,AL
336,270644,PARIPUEIRA,AL
337,270680,PIACABUCU,AL
338,270690,PILAR,AL
339,270720,POCO DAS TRINCHEIRAS,AL
340,270750,PORTO REAL DO COLEGIO,AL
341,270760,QUEBRANGULO,AL
342,270780,ROTEIRO,AL
343,270800,SANTANA DO IPANEMA,AL
344,270810,SANTANA DO MUNDAU,AL
345,270830,SAO JOSE DA LAJE,AL
346,270880,SAO SEBASTIAO,AL
347,270895,SENADOR RUI PALMEIRA,AL
348,270900,TANQUE D'ARCA,AL
349,270915,TEOTONIO VILELA,AL
350,270930,UNIAO DOS PALMARES,AL
351,270940,VICOSA,AL
1236,270010,AGUA BRANCA,AL
1237,270080,BELEM,AL
1238,270100,BOCA DA MATA,AL
1239,270135,CAMPESTRE,AL
1240,270180,CARNEIROS,AL
1241,270235,CRAIBAS,AL
1242,270255,ESTRELA DE ALAGOAS,AL
1243,270375,JEQUIA DA PRAIA,AL
1244,270440,MAJOR ISIDORO,AL
1245,270470,MARECHAL DEODORO,AL
1246,270500,MATA GRANDE,AL
1247,270560,NOVO LINO,AL
1248,270620,PALESTINA,AL
1249,270660,PAULO JACINTO,AL
1250,270700,PINDOBA,AL
1251,270740,PORTO DE PEDRAS,AL
1252,270840,SAO JOSE DA TAPERA,AL
1253,270890,SATUBA,AL
1254,270920,TRAIPU,AL
1312,270060,BARRA DE SAO MIGUEL,AL
1313,270250,DOIS RIACHOS,AL
1314,270530,MINADOR DO NEGRAO,AL
1315,270710,PIRANHAS,AL
1397,270510,MATRIZ DE CAMARAGIBE,AL
1905,270770,RIO LARGO,AL
1948,270270,FELIZ DESERTO,AL
2095,270280,FLEXEIRAS,AL
2535,270400,JUNQUEIRO,AL
2536,270870,SAO MIGUEL DOS MILAGRES,AL
3006,270590,OLHO D'AGUA GRANDE,AL
3007,270130,CAJUEIRO,AL
3009,270380,JOAQUIM GOMES,AL
3015,270230,CORURIPE,AL
3032,270790,SANTA LUZIA DO NORTE,AL
3317,270020,ANADIA,AL
3318,270030,ARAPIRACA,AL
3319,270050,BARRA DE SANTO ANTONIO,AL
3320,270070,BATALHA,AL
3321,270090,BELO MONTE,AL
3322,270110,BRANQUINHA,AL
3323,270120,CACIMBINHAS,AL
3324,270150,CAMPO GRANDE,AL
3325,270160,CANAPI,AL
3326,270190,CHA PRETA,AL
3327,270200,COITE DO NOIA,AL
3328,270220,COQUEIRO SECO,AL
3329,270240,DELMIRO GOUVEIA,AL
3330,270260,FEIRA GRANDE,AL
3331,270290,GIRAU DO PONCIANO,AL
3332,270300,IBATEGUARA,AL
3333,270310,IGACI,AL
3394,270140,CAMPO ALEGRE,AL
3395,270430,MACEIO,AL
3396,270670,PENEDO,AL
3397,270860,SAO MIGUEL DOS CAMPOS,AL
3644,270040,ATALAIA,AL
3645,270170,CAPELA,AL
3646,270210,COLONIA LEOPOLDINA,AL
3647,270320,IGREJA NOVA,AL
3648,270410,LAGOA DA CANOA,AL
3649,270630,PALMEIRA DOS INDIOS,AL
3650,270642,PARICONHA,AL
3651,270650,PASSO DE CAMARAGIBE,AL
3652,270730,PORTO CALVO,AL
3653,270820,SAO BRAS,AL
3654,270910,TAQUARANA,AL
3847,270330,INHAPI,AL
4305,270850,SAO LUIS DO QUITUNDE,AL
4417,270390,JUNDIA,AL
4548,270340,JACARE DOS HOMENS,AL
