id,codigo,nome,uf
452,130008,ANAMA,AM
453,130010,ANORI,AM
454,130040,BARCELOS,AM
455,130060,BENJAMIN CONSTANT,AM
456,130063,BERURI,AM
457,130080,BORBA,AM
458,130100,CARAUARI,AM
459,130110,CAREIRO,AM
460,130130,CODAJAS,AM
461,130140,EIRUNEPE,AM
462,130165,GUAJARA,AM
463,130170,HUMAITA,AM
464,130180,IPIXUNA,AM
465,130195,ITAMARATI,AM
466,130220,JURUA,AM
467,130240,LABREA,AM
468,130250,MANACAPURU,AM
469,130260,MANAUS,AM
470,130300,NHAMUNDA,AM
471,130310,NOVA OLINDA DO NORTE,AM
472,130350,PAUINI,AM
473,130370,SANTO ANTONIO DO ICA,AM
474,130390,SAO PAULO DE OLIVENCA,AM
475,130400,SILVES,AM
476,130406,TABATINGA,AM
477,130423,TONANTINS,AM
478,130426,UARINI,AM
479,130440,URUCURITUBA,AM
1255,130330,NOVO ARIPUANA,AM
1332,130002,ALVARAES,AM
1333,130050,BARREIRINHA,AM
1334,130120,COARI,AM
1335,130200,ITAPIRANGA,AM
1336,130290,MAUES,AM
1337,130380,SAO GABRIEL DA CACHOEIRA,AM
1443,130020,ATALAIA DO NORTE,AM
1444,130270,MANICORE,AM
1824,130340,PARINTINS,AM
2688,130014,APUI,AM
2689,130030,AUTAZES,AM
2690,130068,BOA VISTA DO RAMOS,AM
2691,130083,CAAPIRANGA,AM
2692,130115,CAREIRO DA VARZEA,AM
2693,130150,ENVIRA,AM
2694,130185,IRANDUBA,AM
2695,130230,JUTAI,AM
2696,130255,MANAQUIRI,AM
2697,130280,MARAA,AM
2698,130320,NOVO AIRAO,AM
2699,130356,RIO PRETO DA EVA,AM
2700,130395,SAO SEBASTIAO DO UATUMA,AM
2701,130410,TAPAUA,AM
2702,130430,URUCARA,AM
3348,130160,FONTE BOA,AM
3349,130353,PRESIDENTE FIGUEIREDO,AM
5218,130070,BOCA DO ACRE,AM
5219,130360,SANTA ISABEL DO RIO NEGRO,AM
5419,130006,AMATURA,AM
5420,130090,CANUTAMA,AM
5421,130210,JAPURA,AM
5586,130190,ITACOATIARA,AM
5587,130420,TEFE,AM
