id,codigo,nome,uf
388,290010,ABAIRA,BA
389,290035,ADUSTINA,BA
390,290050,ERICO CARDOSO,BA
391,290080,ALCOBACA,BA
392,290100,AMARGOSA,BA
393,290135,ANDORINHA,BA
394,290150,ANGUERA,BA
395,290170,ANTONIO CARDOSO,BA
396,290190,APORA,BA
397,290205,ARACAS,BA
398,290210,ARACI,BA
399,290225,ARATACA,BA
400,290240,AURELINO LEAL,BA
401,290250,BAIANOPOLIS,BA
402,290265,BANZAE,BA
403,290290,BARRA DO CHOCA,BA
404,290310,BARRA DO ROCHA,BA
405,290320,BARREIRAS,BA
406,290330,BARRO PRETO,BA
407,290410,BOQUIRA,BA
408,290450,BROTAS DE MACAUBAS,BA
409,290460,BRUMADO,BA
410,290470,BUERAREMA,BA
411,290475,BURITIRAMA,BA
412,290485,CABACEIRAS DO PARAGUACU,BA
413,290530,CAFARNAUM,BA
414,290540,CAIRU,BA
415,290550,CALDEIRAO GRANDE,BA
416,290580,CAMAMU,BA
417,290610,CANAPOLIS,BA
511,290620,CANARANA,BA
512,290640,CANDEAL,BA
513,290650,CANDEIAS,BA
514,290660,CANDIBA,BA
515,290689,CARAIBAS,BA
516,290690,CARAVELAS,BA
517,290710,CARINHANHA,BA
518,290780,CICERO DANTAS,BA
519,290790,CIPO,BA
520,290810,COCOS,BA
521,290820,CONCEICAO DA FEIRA,BA
522,290860,CONDE,BA
523,290870,CONDEUBA,BA
524,290890,CORACAO DE MARIA,BA
525,290900,CORDEIROS,BA
526,290920,CORONEL JOAO SA,BA
527,290940,COTEGIPE,BA
528,290950,CRAVOLANDIA,BA
529,290990,CURACA,BA
530,291005,DIAS D'AVILA,BA
531,291010,DOM BASILIO,BA
532,291050,ENTRE RIOS,BA
533,291070,EUCLIDES DA CUNHA,BA
534,291072,EUNAPOLIS,BA
535,291075,FATIMA,BA
536,291080,FEIRA DE SANTANA,BA
537,291090,FIRMINO ALVES,BA
538,291100,FLORESTA AZUL,BA
539,291150,GONGOGI,BA
540,291160,GOVERNADOR MANGABEIRA,BA
541,291180,GUARATINGA,BA
542,291190,IACU,BA
543,291220,IBICOARA,BA
544,291230,IBICUI,BA
545,291290,IBIRATAIA,BA
546,291300,IBITIARA,BA
547,291310,IBITITA,BA
548,291345,IGRAPIUNA,BA
549,291350,IGUAI,BA
550,291370,INHAMBUPE,BA
551,291400,IPIRA,BA
552,291410,IPUPIARA,BA
553,291430,IRAMAIA,BA
554,291440,IRAQUARA,BA
555,291465,ITABELA,BA
556,291480,ITABUNA,BA
557,291490,ITACARE,BA
558,291530,ITAGIMIRIM,BA
559,291570,ITAMARI,BA
560,291590,ITANAGRA,BA
561,291640,ITAPETINGA,BA
562,291660,ITAPITANGA,BA
563,291670,ITAQUARA,BA
564,291685,ITATIM,BA
565,291700,ITIUBA,BA
566,291730,ITUBERA,BA
567,291735,JABORANDI,BA
568,291740,JACARACI,BA
569,291760,JAGUAQUARA,BA
570,291790,JANDAIRA,BA
571,291800,JEQUIE,BA
572,291820,JIQUIRICA,BA
573,291835,JOAO DOURADO,BA
574,291840,JUAZEIRO,BA
575,291850,JUSSARA,BA
576,291855,JUSSARI,BA
577,291890,LAJEDAO,BA
578,291900,LAJEDINHO,BA
579,291905,LAJEDO DO TABOCAL,BA
580,291915,LAPAO,BA
581,291950,LIVRAMENTO DE NOSSA SENHORA,BA
582,291970,MACARANI,BA
583,292000,MAIQUINIQUE,BA
584,292040,MANOEL VITORINO,BA
585,292045,MANSIDAO,BA
586,292050,MARACAS,BA
587,292070,MARAU,BA
588,292080,MARCIONILIO SOUZA,BA
589,292100,MATA DE SAO JOAO,BA
590,292120,MIGUEL CALMON,BA
591,292130,MILAGRES,BA
592,292140,MIRANGABA,BA
593,292170,MORRO DO CHAPEU,BA
594,292180,MORTUGABA,BA
595,292190,MUCUGE,BA
596,292210,MUNDO NOVO,BA
597,292220,MUNIZ FERREIRA,BA
598,292230,MURITIBA,BA
599,292265,NORDESTINA,BA
600,292280,NOVA ITARANA,BA
601,292285,NOVA REDENCAO,BA
602,292305,NOVO TRIUNFO,BA
603,292310,OLINDINA,BA
604,292330,OURICANGAS,BA
605,292340,PALMAS DE MONTE ALTO,BA
606,292350,PALMEIRAS,BA
607,292360,PARAMIRIM,BA
608,292405,PE DE SERRA,BA
609,292105,MATINA,BA
610,292145,MIRANTE,BA
611,292275,NOVA IBIA,BA
612,292450,PINDAI,BA
613,292525,PONTO NOVO,BA
614,292575,PRESIDENTE TANCREDO NEVES,BA
615,292740,SALVADOR,BA
616,292780,SANTA CRUZ DA VITORIA,BA
617,292975,SAUBARA,BA
618,293040,SERRA PRETA,BA
619,293160,TEOLANDIA,BA
784,290020,ABARE,BA
785,292200,MUCURI,BA
786,292335,OUROLANDIA,BA
787,292430,PIATA,BA
788,293250,UNA,BA
789,293310,VARZEA DO POCO,BA
1143,293070,SIMOES FILHO,BA
1144,293140,TEODORO SAMPAIO,BA
1145,293220,UBAITABA,BA
1146,293245,UMBURANAS,BA
1317,290520,CAETITE,BA
1318,291600,ITANHEM,BA
1319,291980,MACAUBAS,BA
1320,292590,QUIJINGUE,BA
1321,292720,RUY BARBOSA,BA
1400,290220,ARAMARI,BA
1401,290720,CASA NOVA,BA
1402,291140,GLORIA,BA
1403,291733,IUIU,BA
1404,292060,MARAGOGIPE,BA
1405,292690,RIO DO PIRES,BA
1406,293060,SERROLANDIA,BA
1652,291650,ITAPICURU,BA
1868,292950,SAO SEBASTIAO DO PASSE,BA
1873,291280,IBIRAPUA,BA
1910,290380,BOA VISTA DO TUPIM,BA
1911,293350,WENCESLAU GUIMARAES,BA
1915,290120,ANAGE,BA
1919,290670,CANDIDO SALES,BA
1920,291120,GANDU,BA
1921,291560,ITAMARAJU,BA
