id,codigo,nome,uf
43,231095,PIRES FERREIRA,CE
44,231100,PORANGA,CE
45,231120,POTENGI,CE
46,231160,REDENCAO,CE
47,231180,RUSSAS,CE
48,231190,SABOEIRO,CE
49,231210,SANTANA DO CARIRI,CE
50,231250,SAO JOAO DO JAGUARIBE,CE
51,231280,SENADOR SA,CE
52,231290,SOBRAL,CE
53,231300,SOLONOPOLE,CE
54,231320,TAMBORIL,CE
55,231325,TARRAFAS,CE
56,231335,TEJUCUOCA,CE
57,231360,UBAJARA,CE
58,231370,UMARI,CE
59,231375,UMIRIM,CE
60,231380,URUBURETAMA,CE
61,231400,VARZEA ALEGRE,CE
728,230080,ANTONINA DO NORTE,CE
729,230270,CAMPOS SALES,CE
730,230390,CHAVAL,CE
731,230580,IPU,CE
732,230660,ITATIRA,CE
733,230830,MILAGRES,CE
734,230990,PACUJA,CE
735,231070,PENTECOSTE,CE
736,231150,QUIXERE,CE
737,231340,TIANGUA,CE
1030,230010,ABAIARA,CE
1031,230020,ACARAU,CE
1032,230030,ACOPIARA,CE
1033,230040,AIUABA,CE
1034,230070,ALTO SANTO,CE
1035,230075,AMONTADA,CE
1036,230110,ARACATI,CE
1037,230120,ARACOIABA,CE
1038,230130,ARARIPE,CE
1039,230160,ASSARE,CE
1040,230170,AURORA,CE
1041,230190,BARBALHA,CE
1042,230200,BARRO,CE
1043,230205,BARROQUINHA,CE
1044,230230,BELA CRUZ,CE
1045,230260,CAMOCIM,CE
1046,230280,CANINDE,CE
1047,230290,CAPISTRANO,CE
1048,230300,CARIDADE,CE
1049,230320,CARIRIACU,CE
1050,230365,CATUNDA,CE
1051,230395,CHOROZINHO,CE
1052,230420,CRATO,CE
1053,230426,DEPUTADO IRAPUAN PINHEIRO,CE
1054,230427,ERERE,CE
1055,230428,EUSEBIO,CE
1056,230430,FARIAS BRITO,CE
1057,230440,FORTALEZA,CE
1058,230450,FRECHEIRINHA,CE
1059,230465,GRACA,CE
1060,230470,GRANJA,CE
1061,230523,HORIZONTE,CE
1062,230530,IBIAPINA,CE
1063,230533,IBICUITINGA,CE
1064,230535,ICAPUI,CE
1065,230540,ICO,CE
1066,230550,IGUATU,CE
1067,230590,IPUEIRAS,CE
1068,230625,ITAITINGA,CE
1069,230640,ITAPIPOCA,CE
1070,230670,JAGUARETAMA,CE
1071,230700,JAGUARUANA,CE
1072,230710,JARDIM,CE
1073,230725,JIJOCA DE JERICOACOARA,CE
1074,230740,JUCAS,CE
1075,230750,LAVRAS DA MANGABEIRA,CE
1076,230790,MARTINOPOLE,CE
1077,230810,MAURITI,CE
1078,230835,MILHA,CE
1079,230860,MONSENHOR TABOSA,CE
1080,230910,MULUNGU,CE
1081,230920,NOVA OLINDA,CE
1082,230930,NOVA RUSSAS,CE
