id,codigo,nome,uf
1969,539933,SETOR DE INDUSTRIA E ABASTECIMENTO,DF
2035,539901,AGUAS CLARAS,DF
2036,539928,ITAPOA,DF
2037,539930,JARDIM BOTANICO,DF
2038,539913,PARK WAY,DF
2039,539917,RIACHO FUNDO II,DF
2040,539929,SCIA-ESTRUTURAL,DF
2041,539922,SOBRADINHO II,DF
2042,539931,SUDOESTE/OCTOGONAL,DF
2043,539925,VARJAO,DF
2044,539934,VICENTE PIRES,DF
2571,530010,BRASILIA,DF
2572,530020,BRAZLANDIA,DF
2573,530050,CRUZEIRO,DF
2574,530080,LAGO NORTE,DF
2575,530100,NUCLEO BANDEIRANTE,DF
2576,530135,RIACHO FUNDO,DF
2577,530160,SAO SEBASTIAO,DF
2867,530180,TAGUATINGA,DF
5546,530005,BRASILIA - ASA NORTE,DF
5547,530015,BRASILIA - ASA SUL,DF
5548,530030,CANDANGOLANDIA,DF
5549,530040,CEILANDIA,DF
5550,530060,GAMA,DF
5551,530070,GUARA,DF
5552,530090,LAGO SUL,DF
5553,530110,PARANOA,DF
5554,530120,PLANALTINA,DF
5555,530130,RECANTO DAS EMAS,DF
5556,530140,SAMAMBAIA,DF
5557,530150,SANTA MARIA,DF
5558,530170,SOBRADINHO,DF
5561,999999,SAS,DF
5563,222222,DRAC/CGSOS,DF
