id,codigo,nome,uf
648,320020,ALEGRE,ES
649,320070,ATILIO VIVACQUA,ES
650,320140,CASTELO,ES
651,320210,ECOPORANGA,ES
652,320313,JOAO NEIVA,ES
653,320340,MIMOSO DO SUL,ES
654,320503,VARGEM ALTA,ES
912,320240,GUARAPARI,ES
913,320290,ITARANA,ES
914,320470,SAO GABRIEL DA PALHA,ES
1409,320115,BREJETUBA,ES
1410,320370,MUNIZ FREIRE,ES
1811,320040,ANCHIETA,ES
1812,320120,CACHOEIRO DE ITAPEMIRIM,ES
1813,320220,FUNDAO,ES
1814,320300,IUNA,ES
1815,320316,LARANJA DA TERRA,ES
1816,320330,MANTENOPOLIS,ES
1817,320400,PANCAS,ES
1818,320455,SANTA MARIA DE JETIBA,ES
1819,320480,SAO JOSE DO CALCADO,ES
1820,320501,SOORETAMA,ES
1863,320420,PIUMA,ES
1876,320160,CONCEICAO DA BARRA,ES
2368,320010,AFONSO CLAUDIO,ES
2369,320013,AGUIA BRANCA,ES
2370,320016,AGUA DOCE DO NORTE,ES
2371,320030,ALFREDO CHAVES,ES
2372,320050,APIACA,ES
2373,320090,BARRA DE SAO FRANCISCO,ES
2374,320100,BOA ESPERANCA,ES
2375,320130,CARIACICA,ES
2376,320150,COLATINA,ES
2377,320180,DIVINO DE SAO LOURENCO,ES
2378,320190,DOMINGOS MARTINS,ES
2379,320200,DORES DO RIO PRETO,ES
2380,320230,GUACUI,ES
2381,320245,IBATIBA,ES
2382,320250,IBIRACU,ES
2383,320255,IBITIRAMA,ES
2384,320265,IRUPI,ES
2385,320270,ITAGUACU,ES
2386,320305,JAGUARE,ES
2387,320320,LINHARES,ES
2388,320332,MARATAIZES,ES
2389,320334,MARECHAL FLORIANO,ES
2390,320335,MARILANDIA,ES
2391,320350,MONTANHA,ES
2392,320380,MUQUI,ES
2393,320390,NOVA VENECIA,ES
2394,320405,PEDRO CANARIO,ES
2395,320410,PINHEIROS,ES
2396,320430,PRESIDENTE KENNEDY,ES
2397,320435,RIO BANANAL,ES
2821,320080,BAIXO GUANDU,ES
2822,320440,RIO NOVO DO SUL,ES
3022,320520,VILA VELHA,ES
3040,320460,SANTA TERESA,ES
3041,320465,SAO DOMINGOS DO NORTE,ES
3042,320490,SAO MATEUS,ES
3043,320500,SERRA,ES
3044,320506,VENDA NOVA DO IMIGRANTE,ES
3045,320510,VIANA,ES
3046,320517,VILA VALERIO,ES
3047,320530,VITORIA,ES
3731,320035,ALTO RIO NOVO,ES
3732,320170,CONCEICAO DO CASTELO,ES
3733,320225,GOVERNADOR LINDENBERG,ES
3734,320260,ICONHA,ES
3735,320280,ITAPEMIRIM,ES
3736,320310,JERONIMO MONTEIRO,ES
3737,320360,MUCURICI,ES
3738,320425,PONTO BELO,ES
3739,320450,SANTA LEOPOLDINA,ES
3740,320495,SAO ROQUE DO CANAA,ES
3741,320515,VILA PAVAO,ES
5053,320060,ARACRUZ,ES
5054,320110,BOM JESUS DO NORTE,ES
