id,codigo,nome,uf
984,520015,ADELANDIA,GO
985,520085,AMERICANO DO BRASIL,GO
986,520250,ARUANA,GO
987,520355,BONFINOPOLIS,GO
988,520495,CAMPOS VERDES,GO
989,520680,DAMOLANDIA,GO
990,520760,FAZENDA NOVA,GO
991,520915,GOUVELANDIA,GO
992,520993,INACIOLANDIA,GO
993,521100,ITAPIRAPUA,GO
1370,520360,BRAZABRANTES,GO
1371,520810,FORMOSO,GO
1372,521375,MONTIVIDIU,GO
1854,520870,GOIANIA,GO
1874,520530,CAVALCANTE,GO
1884,520552,COLINAS DO SUL,GO
1990,520150,APORE,GO
1991,520590,CORUMBAIBA,GO
1992,521305,MIMOSO DE GOIAS,GO
1993,521839,PROFESSOR JAMIL,GO
1994,520055,ALTO HORIZONTE,GO
1995,520430,CACU,GO
1996,520660,CUMARI,GO
1997,521030,ISRAELANDIA,GO
1998,521450,NEROPOLIS,GO
1999,521640,PARAUNA,GO
2008,522100,TAQUARAL DE GOIAS,GO
2013,520650,CROMINIA,GO
2027,520780,FIRMINOPOLIS,GO
2032,521930,SANTA HELENA DE GOIAS,GO
2034,521385,MORRO AGUDO DE GOIAS,GO
2049,520425,CACHOEIRA DOURADA,GO
2055,520890,GOIAS,GO
2067,521310,MINEIROS,GO
2068,520725,DOVERLANDIA,GO
2104,521740,PIRES DO RIO,GO
2563,522028,SAO PATRICIO,GO
2564,522050,SERRANOPOLIS,GO
2565,522070,SITIO D'ABADIA,GO
2566,522119,TEREZOPOLIS DE GOIAS,GO
2567,522150,TURVANIA,GO
2568,522170,URUANA,GO
2569,522185,VALPARAISO DE GOIAS,GO
2570,522220,VILA BOA,GO
2863,520830,DIVINOPOLIS DE GOIAS,GO
2864,521390,MOSSAMEDES,GO
2865,521805,PORTEIRAO,GO
2866,522068,SIMOLANDIA,GO
2891,520420,CACHOEIRA DE GOIAS,GO
3010,520340,BOM JARDIM DE GOIAS,GO
3334,521200,JAUPACI,GO
3335,521290,MARZAGAO,GO
3336,521350,MONTE ALEGRE DE GOIAS,GO
3337,521460,NIQUELANDIA,GO
3338,521525,NOVO PLANALTO,GO
3339,521600,PANAMA,GO
3955,520010,ABADIANIA,GO
3956,520013,ACREUNA,GO
3957,520020,AGUA LIMPA,GO
3958,520025,AGUAS LINDAS DE GOIAS,GO
3959,520080,ALVORADA DO NORTE,GO
3960,520090,AMORINOPOLIS,GO
3961,520120,ANHANGUERA,GO
3962,520140,APARECIDA DE GOIANIA,GO
3963,520145,APARECIDA DO RIO DOCE,GO
3964,520160,ARACU,GO
3965,520180,ARAGOIANIA,GO
3966,520260,AURILANDIA,GO
3967,520310,BALIZA,GO
3968,520320,BARRO ALTO,GO
3969,520350,BOM JESUS DE GOIAS,GO
3970,520380,BRITANIA,GO
3971,520390,BURITI ALEGRE,GO
3972,520396,BURITINOPOLIS,GO
3973,520400,CABECEIRAS,GO
3974,520450,CALDAS NOVAS,GO
3975,520455,CALDAZINHA,GO
3976,520460,CAMPESTRE DE GOIAS,GO
3977,520470,CAMPINORTE,GO
3978,520485,CAMPO LIMPO DE GOIAS,GO
3979,520500,CARMO DO RIO VERDE,GO
3980,520520,CATURAI,GO
3981,520540,CERES,GO
3982,520547,CHAPADAO DO CEU,GO
3983,520549,CIDADE OCIDENTAL,GO
3984,520570,CORREGO DO OURO,GO
3985,520580,CORUMBA DE GOIAS,GO
3986,520620,CRISTALINA,GO
3987,520630,CRISTIANOPOLIS,GO
3988,520670,DAMIANOPOLIS,GO
3989,520710,DIORAMA,GO
3990,520740,EDEIA,GO
3991,520790,FLORES DE GOIAS,GO
3992,520840,GOIANAPOLIS,GO
3993,520860,GOIANESIA,GO
3994,520880,GOIANIRA,GO
3995,520910,GOIATUBA,GO
3996,520929,GUARAITA,GO
3997,520945,GUARINOS,GO
3998,520970,HIDROLANDIA,GO
3999,520990,IACIARA,GO
4000,520995,INDIARA,GO
4001,521020,IPORA,GO
4002,521056,ITAGUARI,GO
4003,521120,ITAPURANGA,GO
4004,521140,ITAUCU,GO
4005,521150,ITUMBIARA,GO
4006,521160,IVOLANDIA,GO
4007,521180,JARAGUA,GO
4008,521190,JATAI,GO
4009,521210,JOVIANIA,GO
4010,521220,JUSSARA,GO
4011,521260,MAIRIPOTABA,GO
4012,521270,MAMBAI,GO
4013,521280,MARA ROSA,GO
4014,521300,MAURILANDIA,GO
4015,521308,MINACU,GO
4016,521370,MONTES CLAROS DE GOIAS,GO
4017,521377,MONTIVIDIU DO NORTE,GO
4018,521405,MUNDO NOVO,GO
4019,521480,NOVA AURORA,GO
4020,521483,NOVA CRIXAS,GO
4021,521490,NOVA ROMA,GO
4022,521500,NOVA VENEZA,GO
4023,521523,NOVO GAMA,GO
4024,521530,ORIZONA,GO
4025,521550,OUVIDOR,GO
4026,521560,PADRE BERNARDO,GO
4027,521570,PALMEIRAS DE GOIAS,GO
4028,521580,PALMELO,GO
4029,521590,PALMINOPOLIS,GO
4030,521645,PEROLANDIA,GO
4031,521720,PIRANHAS,GO
4032,521730,PIRENOPOLIS,GO
