id,codigo,nome,uf
698,210020,ALCANTARA,MA
699,210193,BERNARDO DO MEARIM,MA
700,210250,CAJARI,MA
701,210310,CEDRAL,MA
702,210440,GONCALVES DIAS,MA
703,210515,IGARAPE DO MEIO,MA
704,210590,LAGO VERDE,MA
705,210632,MARACACUME,MA
706,210670,MIRADOR,MA
707,210735,NOVA OLINDA DO MARANHAO,MA
708,210850,PINDARE-MIRIM,MA
709,211010,SANTA QUITERIA DO MARANHAO,MA
710,211102,SAO JOAO DO CARU,MA
711,211167,SAO ROBERTO,MA
712,211285,VILA NOVA DOS MARTIRIOS,MA
796,211080,SAO FELIX DE BALSAS,MA
797,211085,SAO FRANCISCO DO BREJAO,MA
798,211100,SAO JOAO BATISTA,MA
799,211105,SAO JOAO DO PARAISO,MA
800,211107,SAO JOAO DO SOTER,MA
801,211110,SAO JOAO DOS PATOS,MA
802,211120,SAO JOSE DE RIBAMAR,MA
803,211130,SAO LUIS,MA
804,211140,SAO LUIS GONZAGA DO MARANHAO,MA
805,211153,SAO PEDRO DA AGUA BRANCA,MA
806,211163,SAO RAIMUNDO DO DOCA BEZERRA,MA
807,211170,SAO VICENTE FERRER,MA
808,211172,SATUBINHA,MA
809,211176,SENADOR LA ROCQUE,MA
810,211178,SERRANO DO MARANHAO,MA
811,211195,SUCUPIRA DO RIACHAO,MA
812,211200,TASSO FRAGOSO,MA
813,211230,TUNTUM,MA
814,211240,TURIACU,MA
815,211250,TUTOIA,MA
816,211260,URBANO SANTOS,MA
817,211270,VARGEM GRANDE,MA
818,211300,VITORINO FREIRE,MA
1264,210040,ALTAMIRA DO MARANHAO,MA
1265,210173,BELAGUA,MA
1266,210465,GOVERNADOR NEWTON BELLO,MA
1267,210598,LAJEADO NOVO,MA
1268,210800,PASTOS BONS,MA
1269,210905,PORTO RICO DO MARANHAO,MA
1270,211070,SAO DOMINGOS DO MARANHAO,MA
1380,210930,PRESIDENTE VARGAS,MA
1474,210180,BENEDITO LEITE,MA
1475,210405,ESTREITO,MA
1476,210580,LAGO DO JUNCO,MA
1477,210760,PALMEIRANDIA,MA
1478,210890,POCAO DE PEDRAS,MA
1479,210955,RIBAMAR FIQUENE,MA
1480,211160,SAO RAIMUNDO DAS MANGABEIRAS,MA
1481,211290,VITORIA DO MEARIM,MA
1831,210275,CAPINZAL DO NORTE,MA
1832,210596,LAGOA GRANDE DO MARANHAO,MA
1833,210990,SANTA INES,MA
1834,211223,TRIZIDELA DO VALE,MA
1851,210320,CHAPADINHA,MA
1852,210370,CURURUPU,MA
1857,210570,LAGO DA PEDRA,MA
1983,210047,ALTO ALEGRE DO PINDARE,MA
1984,210520,IGARAPE GRANDE,MA
1985,210950,RIACHAO,MA
1986,210945,RAPOSA,MA
2028,210675,MIRANDA DO NORTE,MA
2029,210390,DUQUE BACELAR,MA
2050,210810,PAULO RAMOS,MA
2064,210130,BACURI,MA
2073,211400,ZE DOCA,MA
2093,210980,SANTA HELENA,MA
2100,210780,PARNARAMA,MA
2102,210467,GOVERNADOR NUNES FREIRE,MA
2884,210080,ANAPURUS,MA
3012,210340,COELHO NETO,MA
3019,211210,TIMBIRAS,MA
3362,210005,ACAILANDIA,MA
3363,210160,BARRA DO CORDA,MA
3364,210300,CAXIAS,MA
3365,210360,COROATA,MA
3366,210480,GRAJAU,MA
3367,210830,PENALVA,MA
3368,210900,PORTO FRANCO,MA
3369,211050,SAO BENTO,MA
3370,211150,SAO MATEUS DO MARANHAO,MA
3371,211280,VIANA,MA
4288,210235,BURITIRANA,MA
4289,210690,MONCAO,MA
4290,211180,SITIO NOVO,MA
4440,210015,AGUA DOCE DO MARANHAO,MA
4441,210043,ALTO ALEGRE DO MARANHAO,MA
4442,210055,AMAPA DO MARANHAO,MA
4443,210060,AMARANTE DO MARANHAO,MA
4444,210083,APICUM-ACU,MA
4445,210087,ARAGUANA,MA
4446,210095,ARAME,MA
4447,210100,ARARI,MA
4448,210110,AXIXA,MA
4449,210120,BACABAL,MA
4450,210135,BACURITUBA,MA
4451,210140,BALSAS,MA
4452,210150,BARAO DE GRAJAU,MA
4453,210170,BARREIRINHAS,MA
4454,210190,BEQUIMAO,MA
4455,210200,BOM JARDIM,MA
4456,210203,BOM JESUS DAS SELVAS,MA
4457,210207,BOM LUGAR,MA
4458,210215,BREJO DE AREIA,MA
4459,210230,BURITI BRAVO,MA
4460,210237,CACHOEIRA GRANDE,MA
4461,210255,CAMPESTRE DO MARANHAO,MA
4462,210270,CANTANHEDE,MA
4463,210290,CARUTAPERA,MA
4464,210312,CENTRAL DO MARANHAO,MA
4465,210315,CENTRO DO GUILHERME,MA
4466,210317,CENTRO NOVO DO MARANHAO,MA
4467,210350,COLINAS,MA
4468,210355,CONCEICAO DO LAGO-ACU,MA
4469,210375,DAVINOPOLIS,MA
4470,210400,ESPERANTINOPOLIS,MA
4471,210407,FEIRA NOVA DO MARANHAO,MA
4472,210409,FORMOSA DA SERRA NEGRA,MA
4473,210410,FORTALEZA DOS NOGUEIRAS,MA
4474,210430,GODOFREDO VIANA,MA
4475,210450,GOVERNADOR ARCHER,MA
4476,210460,GOVERNADOR EUGENIO BARROS,MA
4477,210462,GOVERNADOR LUIZ ROCHA,MA
4478,210490,GUIMARAES,MA
4479,210500,HUMBERTO DE CAMPOS,MA
4480,210530,IMPERATRIZ,MA
4481,210535,ITAIPAVA DO GRAJAU,MA
4482,210545,JATOBA,MA
4483,210547,JENIPAPO DOS VIEIRAS,MA
4484,210550,JOAO LISBOA,MA
4485,210565,JUNCO DO MARANHAO,MA
4486,210594,LAGO DOS RODRIGUES,MA
4487,210610,LORETO,MA
4488,210620,LUIS DOMINGUES,MA
4489,210635,MARAJA DO SENA,MA
