id,codigo,nome,uf
620,310110,AIMORES,MG
621,310320,ARACAI,MG
622,310510,BAMBUI,MG
623,310760,BOM JESUS DA PENHA,MG
624,311090,CAMPANHA,MG
625,311200,CANDEIAS,MG
626,311360,CAREACU,MG
627,311450,CARMOPOLIS DE MINAS,MG
628,311570,CENTRAL DE MINAS,MG
629,311800,CONGONHAS,MG
630,311840,CONSELHEIRO PENA,MG
631,311940,CORONEL FABRICIANO,MG
632,312040,CRISTIANO OTONI,MG
633,312280,DOM VICOSO,MG
634,312490,EUGENOPOLIS,MG
635,312770,GOVERNADOR VALADARES,MG
636,312900,GUIRICEMA,MG
637,312980,IBIRITE,MG
638,313100,INHAUMA,MG
639,313170,ITABIRA,MG
640,313290,ITAMOGI,MG
641,313350,ITAPECERICA,MG
642,313390,ITAVERAVA,MG
643,313507,JAMPRUCA,MG
644,316840,TARUMIRIM,MG
645,316930,TRES CORACOES,MG
646,317057,VARGEM ALEGRE,MG
647,317130,VICOSA,MG
790,310030,ABRE CAMPO,MG
791,310130,ALAGOA,MG
792,310205,ALTO CAPARAO,MG
793,310300,ANTONIO DIAS,MG
794,310400,ARAXA,MG
795,310480,AUGUSTO DE LIMA,MG
895,310630,BELO ORIENTE,MG
896,310730,BOCAIUVA,MG
897,310820,BONFINOPOLIS DE MINAS,MG
898,310945,CABECEIRA GRANDE,MG
899,311050,CAMANDUCAIA,MG
900,311750,CONCEICAO DO MATO DENTRO,MG
901,312733,GAMELEIRAS,MG
902,312920,HELIODORA,MG
903,313010,IGARAPE,MG
904,313110,INIMUTABA,MG
905,313200,ITACAMBIRA,MG
906,313360,ITAPEVA,MG
907,313580,JEQUITINHONHA,MG
908,316850,TEIXEIRAS,MG
909,317050,URUCANIA,MG
910,317107,VEREDINHA,MG
911,317180,VIRGINOPOLIS,MG
1147,310220,ALVARENGA,MG
1148,310250,AMPARO DO SERRA,MG
1149,310430,AREADO,MG
1150,310500,BALDIM,MG
1151,310770,BOM JESUS DO AMPARO,MG
1152,310870,BRAS PIRES,MG
1153,310890,BRASOPOLIS,MG
1154,311040,CAMACHO,MG
1155,311060,CAMBUI,MG
1156,311070,CAMBUQUIRA,MG
1157,311160,CAMPOS GERAIS,MG
1158,311210,CAPARAO,MG
1159,311230,CAPELINHA,MG
1160,311280,CAPITOLIO,MG
1161,311320,CARANDAI,MG
1162,311380,CARMESIA,MG
1163,311500,CASCALHO RICO,MG
1164,311550,CAXAMBU,MG
1165,311600,CHALE,MG
1166,311610,CHAPADA DO NORTE,MG
1167,311615,CHAPADA GAUCHA,MG
1168,311660,CLAUDIO,MG
1169,311740,CONCEICAO DE IPANEMA,MG
1170,311770,CONCEICAO DO RIO VERDE,MG
1171,311910,CORINTO,MG
1172,311995,CORREGO FUNDO,MG
1173,312015,CRISOLITA,MG
1174,312050,CRISTINA,MG
1175,312060,CRUCILANDIA,MG
1176,312140,DESTERRO DE ENTRE RIOS,MG
1177,312240,DIVISA NOVA,MG
1178,312260,DOM JOAQUIM,MG
1179,312352,DURANDE,MG
1180,312420,ESPERA FELIZ,MG
1322,310740,BOM DESPACHO,MG
1323,312160,DIAMANTINA,MG
1324,317020,UBERLANDIA,MG
1328,313850,LIBERDADE,MG
1329,314790,PASSOS,MG
1330,315220,PORTEIRINHA,MG
1373,313700,LADAINHA,MG
1374,314250,MONJOLOS,MG
1375,315030,PIEDADE DO RIO GRANDE,MG
1376,315670,SABARA,MG
1377,316300,SAO JOSE DA SAFIRA,MG
1407,313500,JAGUARACU,MG
1408,316960,TUPACIGUARA,MG
1433,313800,LARANJAL,MG
1434,314100,MATO VERDE,MG
1435,314400,MUTUM,MG
1436,314720,PARAGUACU,MG
1437,315040,PIEDADE DOS GERAIS,MG
1438,315550,RIO PARANAIBA,MG
1439,316100,SAO DOMINGOS DO PRATA,MG
1440,316610,SENHORA DO PORTO,MG
1547,314000,MARIANA,MG
1548,314010,MARILAC,MG
1549,314020,MARIPA DE MINAS,MG
1550,314040,MARMELOPOLIS,MG
1551,314060,MATERLANDIA,MG
1552,314070,MATEUS LEME,MG
1553,314090,MATIPO,MG
1554,314110,MATOZINHOS,MG
1555,314140,MEDINA,MG
1556,314170,MESQUITA,MG
1557,314200,MIRABELA,MG
1558,314210,MIRADOURO,MG
1559,314220,MIRAI,MG
1560,314230,MOEDA,MG
1561,314240,MOEMA,MG
1562,314260,MONSENHOR PAULO,MG
1563,314290,MONTE AZUL,MG
1564,314300,MONTE BELO,MG
1565,314320,MONTE SANTO DE MINAS,MG
1566,314340,MONTE SIAO,MG
1567,314350,MORADA NOVA DE MINAS,MG
1568,314370,MORRO DO PILAR,MG
1569,314380,MUNHOZ,MG
1570,314420,NACIP RAYDAN,MG
1571,314430,NANUQUE,MG
1572,314437,NATALANDIA,MG
1573,314450,NAZARENO,MG
1574,314460,NEPOMUCENO,MG
1575,314467,NOVA BELEM,MG
1576,314500,NOVA PONTE,MG
1577,314520,NOVA SERRANA,MG
1578,314530,NOVO CRUZEIRO,MG
1579,314540,OLARIA,MG
1580,314550,OLIMPIO NORONHA,MG
1581,314560,OLIVEIRA,MG
1582,314570,OLIVEIRA FORTES,MG
1583,314585,ORATORIOS,MG
1584,314587,ORIZANIA,MG
1585,314600,OURO FINO,MG
1586,314630,PADRE PARAISO,MG
1587,314655,PAI PEDRO,MG
1588,314660,PAIVA,MG
1589,314670,PALMA,MG
1590,314700,PARACATU,MG
1591,314710,PARA DE MINAS,MG
1592,314730,PARAISOPOLIS,MG
1593,314760,PASSA QUATRO,MG
1594,314770,PASSA TEMPO,MG
1595,314780,PASSA-VINTE,MG
1596,314810,PATROCINIO,MG
1597,314820,PATROCINIO DO MURIAE,MG
1598,314840,PAULISTAS,MG
1599,314860,PECANHA,MG
1600,314875,PEDRA BONITA,MG
1601,314900,PEDRA DOURADA,MG
1602,314920,PEDRINOPOLIS,MG
1603,314960,PEQUI,MG
1604,314970,PERDIGAO,MG
1605,314990,PERDOES,MG
1606,314995,PERIQUITO,MG
1607,315000,PESCADOR,MG
1608,315015,PIEDADE DE CARATINGA,MG
1609,315020,PIEDADE DE PONTE NOVA,MG
1610,315050,PIMENTA,MG
1611,315057,PINTOPOLIS,MG
1612,315080,PIRANGA,MG
1613,315090,PIRANGUCU,MG
1614,315120,PIRAPORA,MG
1615,315160,PLANURA,MG
1616,315170,POCO FUNDO,MG
1617,315200,POMPEU,MG
1618,315210,PONTE NOVA,MG
1619,315230,PORTO FIRME,MG
1620,315240,POTE,MG
1621,315260,POUSO ALTO,MG
1622,315270,PRADOS,MG
1623,315290,PRATAPOLIS,MG
1624,315300,PRATINHA,MG
1625,315310,PRESIDENTE BERNARDES,MG
1626,315330,PRESIDENTE KUBITSCHEK,MG
1627,315360,PRUDENTE DE MORAIS,MG
1628,315370,QUARTEL GERAL,MG
1629,315380,QUELUZITO,MG
1630,315410,RECREIO,MG
1631,315415,REDUTO,MG
1632,315430,RESPLENDOR,MG
1633,315450,RIACHO DOS MACHADOS,MG
1634,315460,RIBEIRAO DAS NEVES,MG
1635,315500,RIO DOCE,MG
1636,315540,RIO NOVO,MG
1637,315560,RIO PARDO DE MINAS,MG
1638,315580,RIO POMBA,MG
1639,315590,RIO PRETO,MG
1640,315600,RIO VERMELHO,MG
1641,315620,ROCHEDO DE MINAS,MG
1642,315630,RODEIRO,MG
1643,315645,ROSARIO DA LIMEIRA,MG
1644,315660,RUBIM,MG
1645,315690,SACRAMENTO,MG
1646,315710,SALTO DA DIVISA,MG
1647,315725,SANTA BARBARA DO LESTE,MG
1648,315730,SANTA BARBARA DO TUGURIO,MG
1651,316540,SAPUCAI-MIRIM,MG
1744,312470,ESTRELA DO INDAIA,MG
1745,312540,FELICIO DOS SANTOS,MG
1746,312650,FRANCISCO BADARO,MG
1747,312670,FRANCISCO SA,MG
1748,312720,FUNILANDIA,MG
1749,312760,GOUVEIA,MG
1750,312880,GUIDOVAL,MG
1751,312940,IBERTIOGA,MG
1752,313055,IMBE DE MINAS,MG
1753,313090,INHAPIM,MG
1754,313180,ITABIRINHA,MG
1755,313240,ITAJUBA,MG
1756,313310,ITANHANDU,MG
1757,313450,ITUTINGA,MG
1758,313530,JAPARAIBA,MG
1759,313560,JEQUITAI,MG
1760,313590,JESUANIA,MG
1761,313610,JOANESIA,MG
1762,313695,JUVENILIA,MG
1763,313862,LIMEIRA DO OESTE,MG
1764,313867,LUISBURGO,MG
1765,313950,MANHUMIRIM,MG
1766,314030,MARLIERIA,MG
1767,314085,MATIAS CARDOSO,MG
1768,314150,MENDES PIMENTEL,MG
1769,314190,MINDURI,MG
1770,314280,MONTE ALEGRE DE MINAS,MG
1771,314390,MURIAE,MG
1772,314410,MUZAMBINHO,MG
1773,314465,NINHEIRA,MG
1774,314535,NOVO ORIENTE DE MINAS,MG
1775,314590,OURO BRANCO,MG
1776,314625,PADRE CARVALHO,MG
1777,314830,PAULA CANDIDO,MG
1778,314880,PEDRA DO ANTA,MG
1779,314910,PEDRALVA,MG
1780,314915,PEDRAS DE MARIA DA CRUZ,MG
1781,315130,PIRAUBA,MG
1782,315140,PITANGUI,MG
1783,315217,PONTO DOS VOLANTES,MG
1784,315320,PRESIDENTE JUSCELINO,MG
1785,315390,RAPOSOS,MG
1786,315445,RIACHINHO,MG
1787,315510,RIO DO PRADO,MG
1788,315530,RIO MANSO,MG
1789,315650,RUBELITA,MG
1790,315733,SANTA CRUZ DE MINAS,MG
1791,315737,SANTA CRUZ DE SALINAS,MG
1792,315770,SANTA JULIANA,MG
1793,315940,SANTA RITA DE IBITIPOCA,MG
1794,315860,SANTANA DO DESERTO,MG
1795,315900,SANTANA DO RIACHO,MG
1796,315990,SANTO ANTONIO DO AMPARO,MG
1797,316140,SAO FRANCISCO DO GLORIA,MG
1798,316200,SAO GONCALO DO SAPUCAI,MG
1799,316230,SAO JOAO DA MATA,MG
1800,316292,SAO JOAQUIM DE BICAS,MG
1801,316430,SAO ROQUE DE MINAS,MG
1802,316443,SAO SEBASTIAO DA VARGEM ALEGRE,MG
1803,316500,SAO TIAGO,MG
1804,316620,SENHORA DOS REMEDIOS,MG
1805,316740,SILVIANOPOLIS,MG
1806,316770,SOBRALIA,MG
1807,316810,TAPIRA,MG
1808,316920,TOMBOS,MG
1809,317047,URUANA DE MINAS,MG
1810,317140,VIEIRAS,MG
1855,312950,IBIA,MG
1871,316860,TEOFILO OTONI,MG
1875,313130,IPATINGA,MG
1877,315700,SALINAS,MG
1914,311930,COROMANDEL,MG
2107,313670,JUIZ DE FORA,MG
2296,312700,FRONTEIRA,MG
2297,312707,FRUTA DE LEITE,MG
2298,312730,GALILEIA,MG
