id,codigo,nome,uf
1367,500348,DOIS IRMAOS DO BURITI,MS
2002,500295,CHAPADAO DO SUL,MS
2003,500625,NOVO HORIZONTE DO SUL,MS
2011,500220,BONITO,MS
2579,500390,FIGUEIRAO,MS
2859,500345,DEODAPOLIS,MS
2860,500840,VICENTINA,MS
4147,500060,AMAMBAI,MS
4148,500070,ANASTACIO,MS
4149,500080,ANAURILANDIA,MS
4150,500090,ANTONIO JOAO,MS
4151,500100,APARECIDA DO TABOADO,MS
4152,500150,BANDEIRANTES,MS
4232,500020,AGUA CLARA,MS
4233,500085,ANGELICA,MS
4234,500124,ARAL MOREIRA,MS
4235,500215,BODOQUENA,MS
4236,500240,CAARAPO,MS
4237,500280,CARACOL,MS
4238,500315,CORONEL SAPUCAIA,MS
4239,500350,DOURADINA,MS
4240,500410,GUIA LOPES DA LAGUNA,MS
4241,500500,JARDIM,MS
4242,500525,LAGUNA CARAPA,MS
4243,500570,NAVIRAI,MS
4244,500635,PARANHOS,MS
4245,500690,PORTO MURTINHO,MS
4246,500740,RIO VERDE DE MATO GROSSO,MS
4247,500793,SONORA,MS
4248,500797,TAQUARUSSU,MS
4414,500460,ITAQUIRAI,MS
5289,500025,ALCINOPOLIS,MS
5290,500190,BATAGUASSU,MS
5291,500210,BELA VISTA,MS
5292,500290,CASSILANDIA,MS
5293,500380,FATIMA DO SUL,MS
5294,500510,JATEI,MS
5295,500515,JUTI,MS
5296,500580,NIOAQUE,MS
5297,500600,NOVA ALVORADA DO SUL,MS
5298,500755,SANTA RITA DO PARDO,MS
5299,500770,SETE QUEDAS,MS
5300,500795,TACURU,MS
5329,500270,CAMPO GRANDE,MS
5330,500540,MARACAJU,MS
5331,500769,SAO GABRIEL DO OESTE,MS
5386,500110,AQUIDAUANA,MS
5387,500370,DOURADOS,MS
5388,500630,PARANAIBA,MS
5433,500627,PARAISO DAS AGUAS,MS
5434,500200,BATAYPORA,MS
5435,500230,BRASILANDIA,MS
5436,500260,CAMAPUA,MS
5437,500310,CORGUINHO,MS
5438,500320,CORUMBA,MS
5439,500325,COSTA RICA,MS
5440,500330,COXIM,MS
5441,500375,ELDORADO,MS
5442,500400,GLORIA DE DOURADOS,MS
5443,500430,IGUATEMI,MS
5444,500440,INOCENCIA,MS
5445,500450,ITAPORA,MS
5446,500470,IVINHEMA,MS
5447,500480,JAPORA,MS
5448,500490,JARAGUARI,MS
5449,500520,LADARIO,MS
5450,500560,MIRANDA,MS
5451,500568,MUNDO NOVO,MS
5452,500620,NOVA ANDRADINA,MS
5453,500640,PEDRO GOMES,MS
5454,500660,PONTA PORA,MS
5455,500710,RIBAS DO RIO PARDO,MS
5456,500720,RIO BRILHANTE,MS
5457,500730,RIO NEGRO,MS
5458,500750,ROCHEDO,MS
5459,500780,SELVIRIA,MS
5460,500790,SIDROLANDIA,MS
5461,500800,TERENOS,MS
5462,500830,TRES LAGOAS,MS
