id,codigo,nome,uf
972,510080,APIACAS,MT
973,510190,BRASNORTE,MT
974,510285,CASTANHEIRA,MT
975,510337,COTRIGUACU,MT
976,510515,JUINA,MT
977,510560,MATUPA,MT
978,510628,NOVO SAO JOAQUIM,MT
979,510680,PORTO DOS GAUCHOS,MT
980,510720,RIO BRANCO,MT
981,510770,ROSARIO OESTE,MT
982,510795,TANGARA DA SERRA,MT
983,510860,VILA RICA,MT
1327,510623,NOVA OLIMPIA,MT
1368,510279,CARLINDA,MT
1369,510774,SANTA CRUZ DO XINGU,MT
1883,510395,GLORIA D'OESTE,MT
1989,510719,RIBEIRAOZINHO,MT
2004,510125,ARAPUTANGA,MT
2005,510450,INDIAVAI,MT
2006,510622,NOVA MUTUM,MT
2007,510775,SALTO DO CEU,MT
2012,510263,CAMPO NOVO DO PARECIS,MT
2045,510250,CACERES,MT
2048,510670,PONTE BRANCA,MT
2096,510480,JACIARA,MT
2105,510340,CUIABA,MT
2110,510618,NOVA LACERDA,MT
2578,510454,ITANHANGA,MT
2861,510410,GUARANTA DO NORTE,MT
2862,510718,RIBEIRAO CASCALHEIRA,MT
3026,510794,TABAPORA,MT
3948,510810,TESOURO,MT
3949,510830,UNIAO DO SUL,MT
3950,510835,VALE DE SAO DOMINGOS,MT
3951,510850,VERA,MT
3952,510880,NOVA GUARITA,MT
3953,510890,NOVA MARINGA,MT
3954,510895,NOVA MONTE VERDE,MT
4249,510020,AGUA BOA,MT
4250,510040,ALTO GARCAS,MT
4251,510100,ARAGUAIANA,MT
4252,510170,BARRA DO BUGRES,MT
4253,510260,CAMPINAPOLIS,MT
4254,510269,CANABRAVA DO NORTE,MT
4255,510310,COCALINHO,MT
4256,510325,COLNIZA,MT
4257,510336,CONQUISTA D'OESTE,MT
4258,510360,DOM AQUINO,MT
4259,510385,GAUCHA DO NORTE,MT
4260,510420,GUIRATINGA,MT
4261,510460,ITIQUIRA,MT
4262,510510,JUARA,MT
4263,510550,VILA BELA DA SANTISSIMA TRINDADE,MT
4264,510600,NORTELANDIA,MT
4316,510805,TERRA NOVA DO NORTE,MT
4415,510140,ARIPUANA,MT
4416,510520,JUSCIMEIRA,MT
4745,510617,NOVA NAZARE,MT
