id,codigo,nome,uf
485,150013,ABEL FIGUEIREDO,PA
486,150020,ACARA,PA
487,150030,AFUA,PA
488,150060,ALTAMIRA,PA
489,150080,ANANINDEUA,PA
490,150090,AUGUSTO CORREA,PA
491,150100,AVEIRO,PA
492,150145,BELTERRA,PA
493,150157,BOM JESUS DO TOCANTINS,PA
494,150170,BRAGANCA,PA
495,150172,BRASIL NOVO,PA
496,150210,CAMETA,PA
497,150230,CAPITAO POCO,PA
498,150240,CASTANHAL,PA
499,150250,CHAVES,PA
500,150277,CURIONOPOLIS,PA
501,150280,CURRALINHO,PA
502,150285,CURUA,PA
503,150290,CURUCA,PA
504,150304,FLORESTA DO ARAGUAIA,PA
505,150310,GURUPA,PA
506,150320,IGARAPE-ACU,PA
507,150340,INHANGAPI,PA
508,150350,IRITUIA,PA
509,150370,ITUPIRANGA,PA
510,150380,JACUNDA,PA
1256,150140,BELEM,PA
1340,150070,ANAJAS,PA
1341,150150,BENEVIDES,PA
1342,150195,CACHOEIRA DO PIRIA,PA
1343,150770,SAO SEBASTIAO DA BOA VISTA,PA
1448,150200,CACHOEIRA DO ARARI,PA
1449,150260,COLARES,PA
1450,150295,ELDORADO DOS CARAJAS,PA
1451,150410,MAGALHAES BARATA,PA
1452,150480,MONTE ALEGRE,PA
1453,150506,NOVO REPARTIMENTO,PA
1454,150510,OBIDOS,PA
1455,150565,PLACAS,PA
1456,150570,PONTA DE PEDRAS,PA
1457,150616,RIO MARIA,PA
1458,150635,SANTA BARBARA DO PARA,PA
1459,150650,SANTA IZABEL DO PARA,PA
1460,150670,SANTANA DO ARAGUAIA,PA
1461,150710,SAO CAETANO DE ODIVELAS,PA
1462,150812,ULIANOPOLIS,PA
1825,150120,BAIAO,PA
1826,150495,NOVA ESPERANCA DO PIRIA,PA
1827,150803,TRACUATEUA,PA
1918,150178,BREU BRANCO,PA
1959,150293,DOM ELISEU,PA
1960,150746,SAO JOAO DA PONTA,PA
2009,150430,MARACANA,PA
2010,150309,GOIANESIA DO PARA,PA
2019,150360,ITAITUBA,PA
2022,150040,ALENQUER,PA
2031,150300,FARO,PA
2052,150180,BREVES,PA
2057,150540,OUREM,PA
2070,150050,ALMEIRIM,PA
2071,150390,JURUTI,PA
2081,150010,ABAETETUBA,PA
2092,150680,SANTAREM,PA
2113,150400,LIMOEIRO DO AJURU,PA
2114,150440,MARAPANIM,PA
2115,150445,MEDICILANDIA,PA
2116,150450,MELGACO,PA
2117,150500,NOVA TIMBOTEUA,PA
2118,150530,ORIXIMINA,PA
2119,150543,OURILANDIA DO NORTE,PA
2120,150549,PALESTINA DO PARA,PA
2121,150555,PAU D'ARCO,PA
2122,150560,PEIXE-BOI,PA
2123,150580,PORTEL,PA
2124,150590,PORTO DE MOZ,PA
2125,150600,PRAINHA,PA
2126,150611,QUATIPURU,PA
2127,150618,RONDON DO PARA,PA
2128,150620,SALINOPOLIS,PA
2129,150630,SALVATERRA,PA
2130,150655,SANTA LUZIA DO PARA,PA
2131,150660,SANTA MARIA DO PARA,PA
2132,150690,SANTAREM NOVO,PA
2133,150715,SAO DOMINGOS DO ARAGUAIA,PA
2134,150720,SAO DOMINGOS DO CAPIM,PA
2135,150730,SAO FELIX DO XINGU,PA
2136,150740,SAO FRANCISCO DO PARA,PA
2137,150747,SAO JOAO DE PIRABAS,PA
2138,150750,SAO JOAO DO ARAGUAIA,PA
2139,150775,SAPUCAIA,PA
2140,150790,SOURE,PA
2141,150795,TAILANDIA,PA
2142,150800,TOME-ACU,PA
2143,150805,TRAIRAO,PA
2144,150808,TUCUMA,PA
2145,150830,VISEU,PA
2707,150095,AURORA DO PARA,PA
2708,150125,BANNACH,PA
2709,150160,BONITO,PA
2710,150175,BREJO GRANDE DO ARAGUAIA,PA
2711,150215,CANAA DOS CARAJAS,PA
2712,150275,CONCORDIA DO PARA,PA
2713,150307,GARRAFAO DO NORTE,PA
2714,150345,IPIXUNA DO PARA,PA
2715,150375,JACAREACANGA,PA
2716,150405,MAE DO RIO,PA
2717,150460,MOCAJUBA,PA
2718,150503,NOVO PROGRESSO,PA
2719,150548,PACAJA,PA
2720,150563,PICARRA,PA
2721,150610,PRIMAVERA,PA
2722,150619,RUROPOLIS,PA
2723,150640,SANTA CRUZ DO ARARI,PA
2724,150700,SANTO ANTONIO DO TAUA,PA
2725,150780,SENADOR JOSE PORFIRIO,PA
2726,150797,TERRA SANTA,PA
2727,150820,VIGIA,PA
2994,150815,URUARA,PA
2996,150470,MOJU,PA
2997,150520,OEIRAS DO PARA,PA
2998,150796,TERRA ALTA,PA
3011,150442,MARITUBA,PA
3350,150085,ANAPU,PA
3351,150190,BUJARU,PA
3352,150270,CONCEICAO DO ARAGUAIA,PA
3353,150330,IGARAPE-MIRI,PA
3354,150420,MARABA,PA
3355,150490,MUANA,PA
3356,150553,PARAUAPEBAS,PA
3357,150613,REDENCAO,PA
3358,150745,SAO GERALDO DO ARAGUAIA,PA
3359,150810,TUCURUI,PA
5220,150110,BAGRE,PA
5221,150497,NOVA IPIXUNA,PA
5222,150658,SANTA MARIA DAS BARREIRAS,PA
5223,150835,VITORIA DO XINGU,PA
5401,150130,BARCARENA,PA
5402,150550,PARAGOMINAS,PA
5403,150840,XINGUARA,PA
5429,150475,MOJUI DOS CAMPOS,PA
5588,150034,AGUA AZUL DO NORTE,PA
5589,150220,CAPANEMA,PA
5590,150276,CUMARU DO NORTE,PA
5591,150760,SAO MIGUEL DO GUAMA,PA
