id,codigo,nome,uf
224,250020,AGUIAR,PB
225,250030,ALAGOA GRANDE,PB
226,250053,ALCANTIL,PB
227,250070,SAO JOAO DO RIO DO PEIXE,PB
228,250080,ARACAGI,PB
229,250090,ARARA,PB
230,250130,AROEIRAS,PB
231,250150,BANANEIRAS,PB
232,250153,BARAUNA,PB
233,250157,BARRA DE SANTANA,PB
234,250170,BARRA DE SAO MIGUEL,PB
235,250210,BOA VENTURA,PB
236,250220,BOM JESUS,PB
237,250230,BOM SUCESSO,PB
238,250250,BOQUEIRAO,PB
239,250260,IGARACY,PB
240,250270,BORBOREMA,PB
241,250290,BREJO DOS SANTOS,PB
242,250300,CAAPORA,PB
243,250340,CACIMBA DE AREIA,PB
244,250350,CACIMBA DE DENTRO,PB
245,250370,CAJAZEIRAS,PB
246,250375,CAJAZEIRINHAS,PB
247,250380,CALDAS BRANDAO,PB
248,250410,CARRAPATEIRA,PB
249,250420,CATINGUEIRA,PB
250,250430,CATOLE DO ROCHA,PB
251,250500,CUBATI,PB
252,250510,CUITE,PB
253,250520,CUITEGI,PB
254,250535,DAMIAO,PB
255,250550,VISTA SERRANA,PB
256,250570,DONA INES,PB
257,250590,EMAS,PB
258,250600,ESPERANCA,PB
259,250640,GURINHEM,PB
260,250650,GURJAO,PB
261,250670,IMACULADA,PB
262,250700,ITAPORANGA,PB
263,250730,JACARAU,PB
264,250740,JERICO,PB
265,250770,JUAZEIRINHO,PB
266,250780,JUNCO DO SERIDO,PB
267,250790,JURIPIRANGA,PB
268,250810,LAGOA,PB
269,250850,LIVRAMENTO,PB
270,250870,MAE D'AGUA,PB
271,250890,MAMANGUAPE,PB
272,250900,MANAIRA,PB
273,250920,MASSARANDUBA,PB
274,250930,MATARACA,PB
275,250937,MATO GROSSO,PB
276,250950,MONTADAS,PB
277,250980,MULUNGU,PB
278,251000,NAZAREZINHO,PB
279,251010,NOVA FLORESTA,PB
280,251040,OLHO D'AGUA,PB
281,251070,PASSAGEM,PB
282,251090,PAULISTA,PB
283,251120,PEDRAS DE FOGO,PB
284,251130,PIANCO,PB
285,251160,PILOES,PB
286,251180,PIRPIRITUBA,PB
287,251190,PITIMBU,PB
288,251207,POCO DE JOSE DE MOURA,PB
289,251250,QUEIMADAS,PB
290,251260,QUIXABA,PB
291,251274,RIACHAO,PB
292,251276,RIACHAO DO POCO,PB
293,251280,RIACHO DOS CAVALOS,PB
294,251290,RIO TINTO,PB
295,251315,SANTA CECILIA,PB
296,251320,SANTA CRUZ,PB
297,251330,SANTA HELENA,PB
298,251340,SANTA LUZIA,PB
299,251365,SANTAREM,PB
300,251370,SANTA RITA,PB
301,251380,SANTA TERESINHA,PB
302,251385,SANTO ANDRE,PB
