id,codigo,nome,uf
772,260040,AGUA PRETA,PE
773,260120,ARCOVERDE,PE
774,260220,BOM JARDIM,PE
775,260490,CUMARU,PE
776,260650,IATI,PE
777,260720,IPOJUCA,PE
778,260795,JAQUEIRA,PE
779,260915,MANARI,PE
780,261010,PALMEIRINA,PE
781,261210,SALGADINHO,PE
782,261270,SANTA MARIA DO CAMBUCA,PE
783,261510,TEREZINHA,PE
1304,260100,ANGELIM,PE
1305,260240,BREJAO,PE
1306,260510,CUSTODIA,PE
1307,260630,GRANITO,PE
1308,260765,ITAMBE,PE
1309,261020,PANELAS,PE
1310,261310,SAO CAITANO,PE
1311,261440,SOLIDAO,PE
1392,260330,CALCADO,PE
1393,260550,FERREIROS,PE
1394,260840,JUREMA,PE
1395,261130,POMBOS,PE
1396,261420,SIRINHAEM,PE
1912,260790,JABOATAO DOS GUARARAPES,PE
1945,260440,CHA DE ALEGRIA,PE
1946,261060,PAUDALHO,PE
1947,261640,VITORIA DE SANTO ANTAO,PE
2014,261600,VENTUROSA,PE
2015,260740,ITACURUBA,PE
2051,260200,BODOCO,PE
2056,260640,GRAVATA,PE
2060,261170,RIACHO DAS ALMAS,PE
2237,260010,AFOGADOS DA INGAZEIRA,PE
2238,260050,AGUAS BELAS,PE
2239,260080,ALTINHO,PE
2240,260110,ARARIPINA,PE
2241,260140,BARREIROS,PE
2242,260180,BETANIA,PE
2243,260300,CABROBO,PE
2244,260320,CAETES,PE
2245,260360,CAMUTANGA,PE
2246,260392,CARNAUBEIRA DA PENHA,PE
2247,260430,CEDRO,PE
2248,260470,CORRENTES,PE
2249,260500,CUPIRA,PE
2250,260530,EXU,PE
2251,260545,FERNANDO DE NORONHA,PE
2252,260590,GAMELEIRA,PE
2253,260620,GOIANA,PE
2254,260670,IBIRAJUBA,PE
2255,260710,INGAZEIRA,PE
2256,260750,ITAIBA,PE
2257,260770,ITAPETIM,PE
2258,260820,JOAQUIM NABUCO,PE
2259,260880,LAJEDO,PE
2260,260920,MARAIAL,PE
2261,260950,NAZARE DA MATA,PE
2262,260990,OURICURI,PE
2263,261050,PASSIRA,PE
2264,261100,PETROLANDIA,PE
2265,261150,QUIPAPA,PE
2266,261180,RIBEIRAO,PE
2267,261220,SALGUEIRO,PE
2268,261245,SANTA CRUZ,PE
2269,261260,SANTA MARIA DA BOA VISTA,PE
2270,261300,SAO BENTO DO UNA,PE
2271,261350,SAO JOSE DO BELMONTE,PE
2272,261380,SAO VICENTE FERRER,PE
2273,261430,MOREILANDIA,PE
2274,261460,TABIRA,PE
2275,261485,TAMANDARE,PE
2276,261530,TIMBAUBA,PE
2277,261560,TRINDADE,PE
2278,261590,TUPARETAMA,PE
2531,260290,CABO DE SANTO AGOSTINHO,PE
2532,260830,JUPI,PE
2533,261240,SANHARO,PE
2534,261500,TAQUARITINGA DO NORTE,PE
2886,260400,CARPINA,PE
2990,261320,SAO JOAO,PE
3003,260250,BREJINHO,PE
3004,260850,LAGOA DO ITAENGA,PE
3005,261630,VICENCIA,PE
3017,261160,RECIFE,PE
3039,260800,JATAUBA,PE
3237,260005,ABREU E LIMA,PE
3238,260020,AFRANIO,PE
3239,260030,AGRESTINA,PE
3240,260060,ALAGOINHA,PE
3241,260070,ALIANCA,PE
3242,260090,AMARAJI,PE
3243,260105,ARACOIABA,PE
3244,260130,BARRA DE GUABIRABA,PE
3245,260150,BELEM DE MARIA,PE
3246,260160,BELEM DE SAO FRANCISCO,PE
3247,260170,BELO JARDIM,PE
