id,codigo,nome,uf
713,220090,AROAZES,PI
714,220140,BARRO DURO,PI
715,220205,CABECEIRAS DO PIAUI,PI
716,220245,CAPITAO GERVASIO OLIVEIRA,PI
717,220342,DOMINGOS MOURAO,PI
718,220415,FRANCISCO MACEDO,PI
719,220490,ISAIAS COELHO,PI
720,220558,LAGOA DO PIAUI,PI
721,220585,MADEIRO,PI
722,220635,MILTON BRANDAO,PI
723,220775,PASSAGEM FRANCA DO PIAUI,PI
724,220855,PORTO ALEGRE DO PIAUI,PI
725,220930,SANTA LUZ,PI
726,221037,SAO LUIS DO PIAUI,PI
727,221090,SOCORRO DO PIAUI,PI
744,220672,NAZARIA,PI
819,220025,ALAGOINHA DO PIAUI,PI
820,220027,ALEGRETE DO PIAUI,PI
821,220040,ALTOS,PI
822,220045,ALVORADA DO GURGUEIA,PI
823,220060,ANGICAL DO PIAUI,PI
824,220070,ANISIO DE ABREU,PI
825,220105,ASSUNCAO DO PIAUI,PI
826,220110,AVELINO LOPES,PI
827,220117,BARRA D'ALCANTARA,PI
828,220120,BARRAS,PI
829,220150,BATALHA,PI
830,220155,BELA VISTA DO PIAUI,PI
831,220157,BELEM DO PIAUI,PI
832,220177,BOA HORA,PI
833,220191,BOM PRINCIPIO DO PIAUI,PI
834,220194,BOQUEIRAO DO PIAUI,PI
835,220196,BRASILEIRA,PI
836,220200,BURITI DOS LOPES,PI
837,220202,BURITI DOS MONTES,PI
838,220208,CAJUEIRO DA PRAIA,PI
839,220209,CALDEIRAO GRANDE DO PIAUI,PI
840,220217,CAMPO LARGO DO PIAUI,PI
841,220220,CAMPO MAIOR,PI
842,220230,CANTO DO BURITI,PI
843,220240,CAPITAO DE CAMPOS,PI
844,220253,CARAUBAS DO PIAUI,PI
845,220255,CARIDADE DO PIAUI,PI
846,220270,COCAL,PI
847,220272,COCAL DOS ALVES,PI
848,220273,COIVARAS,PI
849,220277,COLONIA DO PIAUI,PI
850,220285,CORONEL JOSE DIAS,PI
851,220310,CRISTINO CASTRO,PI
852,220320,CURIMATA,PI
853,220323,CURRAIS,PI
854,220327,CURRAL NOVO DO PIAUI,PI
855,220330,DEMERVAL LOBAO,PI
856,220340,DOM EXPEDITO LOPES,PI
857,220345,DOM INOCENCIO,PI
858,220360,ELISEU MARTINS,PI
859,220375,FARTURA DO PIAUI,PI
860,220390,FLORIANO,PI
861,220400,FRANCINOPOLIS,PI
862,220420,FRANCISCO SANTOS,PI
863,220430,FRONTEIRAS,PI
864,220440,GILBUES,PI
865,220450,GUADALUPE,PI
866,220460,HUGO NAPOLEAO,PI
867,220500,ITAINOPOLIS,PI
868,220510,ITAUEIRA,PI
869,220520,JAICOS,PI
870,220525,JARDIM DO MULATO,PI
871,220530,JERUMENHA,PI
872,220535,JOAO COSTA,PI
873,220550,JOSE DE FREITAS,PI
874,220552,JULIO BORGES,PI
