id,codigo,nome,uf
95,412400,SANTANA DO ITARARE,PR
96,412405,SANTA TEREZINHA DE ITAIPU,PR
97,412420,SANTO ANTONIO DO CAIUA,PR
98,412450,SANTO INACIO,PR
99,412460,SAO CARLOS DO IVAI,PR
100,412500,SAO JOAO DO IVAI,PR
101,412510,SAO JOAO DO TRIUNFO,PR
102,412530,SAO JORGE DO IVAI,PR
103,412545,SAO JOSE DAS PALMEIRAS,PR
104,412555,SAO MANOEL DO PARANA,PR
105,412560,SAO MATEUS DO SUL,PR
106,412575,SAO PEDRO DO IGUACU,PR
107,412590,SAO PEDRO DO PARANA,PR
108,412600,SAO SEBASTIAO DA AMOREIRA,PR
109,412620,SAPOPEMA,PR
110,412627,SAUDADE DO IGUACU,PR
111,412635,SERRANOPOLIS DO IGUACU,PR
112,412650,SERTANOPOLIS,PR
113,412665,SULINA,PR
114,412680,TAPEJARA,PR
115,412690,TAPIRA,PR
116,412710,TELEMACO BORBA,PR
117,412730,TERRA RICA,PR
118,412770,TOLEDO,PR
119,412785,TRES BARRAS DO PARANA,PR
120,412788,TUNAS DO PARANA,PR
121,412790,TUNEIRAS DO OESTE,PR
122,412810,UMUARAMA,PR
123,412830,UNIFLOR,PR
124,412850,WENCESLAU BRAZ,PR
125,412855,VERA CRUZ DO OESTE,PR
126,412862,ALTO PARAISO,PR
127,412865,VIRMOND,PR
128,412870,VITORINO,PR
933,410105,ANAHY,PR
934,410230,BALSA NOVA,PR
935,410302,BOA ESPERANCA DO IGUACU,PR
936,410420,CAMPO LARGO,PR
937,410500,CATANDUVAS,PR
938,410590,COLORADO,PR
939,410740,ENEAS MARQUES,PR
940,410773,FERNANDES PINHEIRO,PR
941,410855,GODOY MOREIRA,PR
942,411000,IGUARACU,PR
943,411060,IPORA,PR
944,411230,JAPIRA,PR
945,411295,JURANDA,PR
946,411345,LINDOESTE,PR
947,411420,MANDAGUARI,PR
948,411573,MATO RICO,PR
949,411630,MUNHOZ DE MELO,PR
950,411705,NOVA LARANJEIRAS,PR
951,411840,PARANAVAI,PR
952,411915,PINHAIS,PR
953,412033,PRADO FERREIRA,PR
954,412110,QUINTA DO SOL,PR
955,412180,RIBEIRAO CLARO,PR
956,412260,RONDON,PR
957,412330,SANTA CRUZ DE MONTE CASTELO,PR
958,412410,SANTO ANTONIO DA PLATINA,PR
959,412540,SAO JOSE DA BOA VISTA,PR
960,412625,SARANDI,PR
961,412670,TAMBOARA,PR
962,412750,TIBAGI,PR
963,412796,TURVO,PR
964,412860,VERE,PR
1186,410010,ABATIA,PR
1187,410040,ALMIRANTE TAMANDARE,PR
1188,410070,ALTO PIQUIRI,PR
1189,410100,AMPERE,PR
1190,410120,ANTONINA,PR
1191,410165,ARAPUA,PR
