id,codigo,nome,uf
655,330040,BARRA MANSA,RJ
656,330185,GUAPIMIRIM,RJ
657,330220,ITAPERUNA,RJ
658,330400,PIRAI,RJ
659,330475,SAO FRANCISCO DE ITABAPOANA,RJ
660,330570,SUMIDOURO,RJ
915,330015,APERIBE,RJ
916,330080,CACHOEIRAS DE MACACU,RJ
917,330187,IGUABA GRANDE,RJ
918,330385,PATY DO ALFERES,RJ
919,330470,SANTO ANTONIO DE PADUA,RJ
1353,330095,COMENDADOR LEVY GASPARIAN,RJ
1411,330550,SAQUAREMA,RJ
1653,330580,TERESOPOLIS,RJ
1655,330093,CARAPEBUS,RJ
1656,330170,DUQUE DE CAXIAS,RJ
1657,330270,MARICA,RJ
1658,330290,MIGUEL PEREIRA,RJ
1659,330330,NITEROI,RJ
1660,330370,PARAIBA DO SUL,RJ
1661,330412,QUATIS,RJ
1662,330414,QUEIMADOS,RJ
1663,330490,SAO GONCALO,RJ
1664,330515,SAO JOSE DO VALE DO RIO PRETO,RJ
1821,330025,ARRAIAL DO CABO,RJ
1866,330420,RESENDE,RJ
1908,330455,RIO DE JANEIRO,RJ
1937,330450,RIO DAS FLORES,RJ
2058,330390,PETROPOLIS,RJ
2083,330360,PARACAMBI,RJ
2088,330350,NOVA IGUACU,RJ
2823,330227,JAPERI,RJ
2824,330620,VASSOURAS,RJ
3020,330260,MANGARATIBA,RJ
3048,330010,ANGRA DOS REIS,RJ
3049,330020,ARARUAMA,RJ
3050,330022,AREAL,RJ
3051,330030,BARRA DO PIRAI,RJ
3052,330045,BELFORD ROXO,RJ
3053,330050,BOM JARDIM,RJ
3054,330070,CABO FRIO,RJ
3055,330090,CAMBUCI,RJ
3056,330110,CANTAGALO,RJ
3057,330115,CARDOSO MOREIRA,RJ
3058,330120,CARMO,RJ
3059,330140,CONCEICAO DE MACABU,RJ
3060,330150,CORDEIRO,RJ
3061,330160,DUAS BARRAS,RJ
3062,330190,ITABORAI,RJ
3063,330200,ITAGUAI,RJ
3064,330205,ITALVA,RJ
3065,330210,ITAOCARA,RJ
3066,330230,LAJE DO MURIAE,RJ
3067,330245,MACUCO,RJ
3068,330250,MAGE,RJ
3069,330285,MESQUITA,RJ
3070,330310,NATIVIDADE,RJ
3071,330320,NILOPOLIS,RJ
3072,330340,NOVA FRIBURGO,RJ
3073,330395,PINHEIRAL,RJ
3074,330410,PORCIUNCULA,RJ
3075,330411,PORTO REAL,RJ
3076,330415,QUISSAMA,RJ
3077,330440,RIO CLARO,RJ
3078,330452,RIO DAS OSTRAS,RJ
3079,330480,SAO FIDELIS,RJ
3080,330510,SAO JOAO DE MERITI,RJ
3081,330513,SAO JOSE DE UBA,RJ
3082,330520,SAO PEDRO DA ALDEIA,RJ
3083,330540,SAPUCAIA,RJ
3084,330555,SEROPEDICA,RJ
3085,330575,TANGUA,RJ
3086,330590,TRAJANO DE MORAIS,RJ
3087,330600,TRES RIOS,RJ
3088,330615,VARRE-SAI,RJ
3089,330630,VOLTA REDONDA,RJ
3742,330023,ARMACAO DOS BUZIOS,RJ
3743,330060,BOM JESUS DO ITABAPOANA,RJ
3744,330100,CAMPOS DOS GOYTACAZES,RJ
3745,330130,CASIMIRO DE ABREU,RJ
3746,330180,ENGENHEIRO PAULO DE FRONTIN,RJ
3747,330225,ITATIAIA,RJ
3748,330240,MACAE,RJ
3749,330280,MENDES,RJ
3750,330300,MIRACEMA,RJ
3751,330380,PARATI,RJ
3752,330430,RIO BONITO,RJ
3753,330460,SANTA MARIA MADALENA,RJ
3754,330500,SAO JOAO DA BARRA,RJ
3755,330530,SAO SEBASTIAO DO ALTO,RJ
3756,330560,SILVA JARDIM,RJ
3757,330610,VALENCA,RJ
