id,codigo,nome,uf
62,240030,AFONSO BEZERRA,RN
63,240040,AGUA NOVA,RN
64,240060,ALMINO AFONSO,RN
65,240100,APODI,RN
66,240110,AREIA BRANCA,RN
67,240140,BAIA FORMOSA,RN
68,240145,BARAUNA,RN
69,240180,BREJINHO,RN
70,240190,CAICARA DO RIO DO VENTO,RN
71,240200,CAICO,RN
72,240220,CANGUARETAMA,RN
73,240230,CARAUBAS,RN
74,240250,CARNAUBAIS,RN
75,240280,CORONEL EZEQUIEL,RN
76,240300,CRUZETA,RN
77,240310,CURRAIS NOVOS,RN
78,240325,PARNAMIRIM,RN
79,240330,ENCANTO,RN
80,240390,FRANCISCO DANTAS,RN
81,240400,FRUTUOSO GOMES,RN
82,240420,GOIANINHA,RN
83,240430,GOVERNADOR DIX-SEPT ROSADO,RN
84,240460,IELMO MARINHO,RN
85,240480,IPUEIRA,RN
86,240485,ITAJA,RN
174,240500,JACANA,RN
175,240530,JANUARIO CICCO,RN
176,240550,JARDIM DE ANGICOS,RN
177,240570,JARDIM DO SERIDO,RN
178,240580,JOAO CAMARA,RN
179,240590,JOAO DIAS,RN
180,240615,JUNDIA,RN
181,240640,LAGOA DE VELHOS,RN
182,240670,LAJES,RN
183,240710,MACAIBA,RN
184,240720,MACAU,RN
185,240725,MAJOR SALES,RN
186,240740,MARTINS,RN
187,240780,MONTE ALEGRE,RN
188,240790,MONTE DAS GAMELEIRAS,RN
189,240830,NOVA CRUZ,RN
190,240840,OLHO-D'AGUA DO BORGES,RN
191,240860,PARANA,RN
192,240870,PARAU,RN
193,240890,PARELHAS,RN
194,240910,PASSA E FICA,RN
195,240933,SANTA MARIA,RN
196,240980,PEDRO VELHO,RN
197,240990,PENDENCIAS,RN
198,241010,POCO BRANCO,RN
199,241020,PORTALEGRE,RN
200,241030,PRESIDENTE JUSCELINO,RN
201,241040,PUREZA,RN
202,241070,RIACHO DA CRUZ,RN
203,241080,RIACHO DE SANTANA,RN
204,241090,RIACHUELO,RN
205,241170,SAO BENTO DO TRAIRI,RN
206,241190,SAO FRANCISCO DO OESTE,RN
207,241210,SAO JOAO DO SABUGI,RN
208,241250,SAO MIGUEL,RN
209,241280,SAO RAFAEL,RN
210,241290,SAO TOME,RN
211,241310,SENADOR ELOI DE SOUZA,RN
212,241320,SENADOR GEORGINO AVELINO,RN
213,241335,SERRA DO MEL,RN
214,241340,SERRA NEGRA DO NORTE,RN
215,241360,SEVERIANO MELO,RN
216,241370,SITIO NOVO,RN
217,241380,TABOLEIRO GRANDE,RN
218,241410,TENENTE ANANIAS,RN
219,241430,TIMBAUBA DOS BATISTAS,RN
220,241445,TRIUNFO POTIGUAR,RN
221,241450,UMARIZAL,RN
222,241460,UPANEMA,RN
223,241475,VENHA-VER,RN
738,240020,ACU,RN
739,240090,ANTONIO MARTINS,RN
740,240170,BOM JESUS,RN
741,240350,ESPIRITO SANTO,RN
742,240450,GUAMARE,RN
743,240600,JOSE DA PENHA,RN
745,240690,LUCRECIA,RN
746,240760,MESSIAS TARGINO,RN
747,240880,PARAZINHO,RN
748,240960,PEDRA PRETA,RN
749,241050,RAFAEL FERNANDES,RN
750,241260,SAO PAULO DO POTENGI,RN
751,241350,SERRINHA,RN
752,241420,TIBAU DO SUL,RN
1289,240080,ANGICOS,RN
1290,240370,FELIPE GUERRA,RN
1291,240510,JANDAIRA,RN
1292,240800,MOSSORO,RN
1293,240970,PEDRO AVELINO,RN
1294,241120,SANTA CRUZ,RN
1295,241230,SAO JOSE DO CAMPESTRE,RN
1390,240270,CERRO CORA,RN
1391,240520,JANDUIS,RN
1842,240160,BENTO FERNANDES,RN
1843,240650,LAGOA NOVA,RN
1880,241142,SANTANA DO SERIDO,RN
1898,240320,DOUTOR SEVERIANO,RN
1899,240750,MAXARANGUAPE,RN
1900,241110,RUY BARBOSA,RN
2023,241160,SAO BENTO DO NORTE,RN
2094,241440,TOUROS,RN
3021,241500,VILA FLOR,RN
3380,240340,EQUADOR,RN
3381,240940,PAU DOS FERROS,RN
3612,240120,ARES,RN
3613,240260,CEARA-MIRIM,RN
3614,240375,FERNANDO PEDROZA,RN
3615,240680,LAJES PINTADAS,RN
3616,240810,NATAL,RN
3617,240920,PASSAGEM,RN
3618,241200,SAO GONCALO DO AMARANTE,RN
3619,241220,SAO JOSE DE MIPIBU,RN
3620,241490,VICOSA,RN
4296,240185,CAICARA DO NORTE,RN
4297,240630,LAGOA DE PEDRAS,RN
4298,241400,TANGARA,RN
4361,240010,ACARI,RN
4362,240050,ALEXANDRIA,RN
4363,240070,ALTO DO RODRIGUES,RN
4364,240130,AUGUSTO SEVERO,RN
4365,240150,BARCELONA,RN
4366,240165,BODO,RN
4367,240210,CAMPO REDONDO,RN
4368,240240,CARNAUBA DOS DANTAS,RN
4369,240360,EXTREMOZ,RN
4370,240380,FLORANIA,RN
4371,240410,GALINHOS,RN
4372,240440,GROSSOS,RN
4373,240470,IPANGUACU,RN
4374,240490,ITAU,RN
4375,240540,JAPI,RN
4376,240560,JARDIM DE PIRANHAS,RN
4377,240610,JUCURUTU,RN
4378,240620,LAGOA D'ANTA,RN
4379,240660,LAGOA SALGADA,RN
4380,240700,LUIS GOMES,RN
4381,240730,MARCELINO VIEIRA,RN
4382,240770,MONTANHAS,RN
4383,240820,NISIA FLORESTA,RN
4384,240850,OURO BRANCO,RN
4385,240895,RIO DO FOGO,RN
4386,240950,PEDRA GRANDE,RN
4387,241000,PILOES,RN
4388,241025,PORTO DO MANGUE,RN
4389,241060,RAFAEL GODEIRO,RN
4390,241100,RODOLFO FERNANDES,RN
4391,241140,SANTANA DO MATOS,RN
4392,241150,SANTO ANTONIO,RN
4393,241180,SAO FERNANDO,RN
4394,241240,SAO JOSE DO SERIDO,RN
4395,241270,SAO PEDRO,RN
4396,241300,SAO VICENTE,RN
4397,241330,SERRA DE SAO BENTO,RN
4398,241355,SERRINHA DOS PINTOS,RN
4399,241390,TAIPU,RN
4400,241415,TENENTE LAURENTINO CRUZ,RN
4401,241470,VARZEA,RN
4402,241480,VERA CRUZ,RN
4422,240290,CORONEL JOAO PESSOA,RN
4423,240930,PATU,RN
5264,241255,SAO MIGUEL DO GOSTOSO,RN
5422,241105,TIBAU,RN
