id,codigo,nome,uf
419,110001,ALTA FLORESTA D'OESTE,RO
420,110005,CEREJEIRAS,RO
421,110006,COLORADO DO OESTE,RO
422,110007,CORUMBIARA,RO
423,110008,COSTA MARQUES,RO
424,110012,JI-PARANA,RO
425,110015,OURO PRETO DO OESTE,RO
426,110025,PRESIDENTE MEDICI,RO
427,110026,RIO CRESPO,RO
428,110032,SAO MIGUEL DO GUAPORE,RO
429,110045,BURITIS,RO
430,110050,NOVO HORIZONTE DO OESTE,RO
431,110070,CAMPO NOVO DE RONDONIA,RO
432,110080,CANDEIAS DO JAMARI,RO
433,110094,CUJUBIM,RO
434,110110,ITAPUA DO OESTE,RO
435,110130,MIRANTE DA SERRA,RO
436,110140,MONTE NEGRO,RO
437,110143,NOVA UNIAO,RO
438,110147,PRIMAVERA DE RONDONIA,RO
439,110148,SAO FELIPE D'OESTE,RO
440,110150,SERINGUEIRAS,RO
441,110175,VALE DO ANARI,RO
1378,110029,SANTA LUZIA D'OESTE,RO
1441,110037,ALTO ALEGRE DOS PARECIS,RO
1442,110170,URUPA,RO
1822,110028,ROLIM DE MOURA,RO
1848,110004,CACOAL,RO
1878,110145,PARECIS,RO
1916,110034,ALVORADA D'OESTE,RO
1958,110060,CACAULANDIA,RO
2674,110009,ESPIGAO D'OESTE,RO
2675,110033,NOVA MAMORE,RO
2676,110040,ALTO PARAISO,RO
2677,110092,CHUPINGUAIA,RO
2678,110120,MINISTRO ANDREAZZA,RO
2679,110149,SAO FRANCISCO DO GUAPORE,RO
2680,110160,THEOBROMA,RO
2681,110180,VALE DO PARAISO,RO
3344,110002,ARIQUEMES,RO
3345,110010,GUAJARA-MIRIM,RO
3346,110020,PORTO VELHO,RO
3347,110030,VILHENA,RO
5212,110003,CABIXI,RO
5213,110014,NOVA BRASILANDIA D'OESTE,RO
5214,110090,CASTANHEIRAS,RO
5215,110146,PIMENTEIRAS DO OESTE,RO
5216,110155,TEIXEIROPOLIS,RO
5416,110013,MACHADINHO D'OESTE,RO
5417,110100,GOVERNADOR JORGE TEIXEIRA,RO
5584,110011,JARU,RO
5585,110018,PIMENTA BUENO,RO
