id,codigo,nome,uf
1325,430160,BAGE,RS
1326,431120,JULIO DE CASTILHOS,RS
1361,430676,ELDORADO DO SUL,RS
1362,430930,GUAIBA,RS
1363,431190,MARCELINO RAMOS,RS
1364,431555,RIO DOS INDIOS,RS
1365,431880,SAO LOURENCO DO SUL,RS
1366,432220,TUPANCIRETA,RS
1420,430140,ARVOREZINHA,RS
1421,430265,BROCHIER,RS
1422,430468,CAPELA DE SANTANA,RS
1423,430620,CRUZEIRO DO SUL,RS
1424,430805,FAXINALZINHO,RS
1425,430970,HUMAITA,RS
1426,431113,JARI,RS
1427,431215,MATO LEITAO,RS
1428,431310,NOVA PALMA,RS
1429,431450,PINHEIRO MACHADO,RS
1430,431645,SALTO DO JACUI,RS
1431,431912,SAO MARTINHO DA SERRA,RS
1432,432143,TERRA DE AREIA,RS
1650,430440,CANELA,RS
2017,431238,MONTE BELO DO SUL,RS
2066,431400,PARAI,RS
2551,430215,BOA VISTA DAS MISSOES,RS
2552,430220,BOA VISTA DO BURICA,RS
2553,430225,BOA VISTA DO SUL,RS
2554,430230,BOM JESUS,RS
2555,430237,BOM PROGRESSO,RS
2556,430240,BOM RETIRO DO SUL,RS
2557,430258,BOZANO,RS
2558,430260,BRAGA,RS
2559,430280,CACAPAVA DO SUL,RS
2560,430300,CACHOEIRA DO SUL,RS
2561,430310,CACHOEIRINHA,RS
2562,430320,CACIQUE DOBLE,RS
2850,430163,BALNEARIO PINHAL,RS
2851,430466,CAPAO DO LEAO,RS
2852,430645,DOIS LAJEADOS,RS
2853,430920,GRAVATAI,RS
2854,431335,NOVA ROMA DO SUL,RS
2855,431517,PROTASIO ALVES,RS
2856,431820,SAO FRANCISCO DE PAULA,RS
2857,432120,TAQUARA,RS
2858,432335,VILA LANGARO,RS
2882,431440,PELOTAS,RS
2890,430185,BARRA DO GUARITA,RS
2972,430005,AGUA SANTA,RS
2973,430047,ALMIRANTE TAMANDARE DO SUL,RS
2974,430057,ALTO FELIZ,RS
2975,430087,ARARICA,RS
2976,430107,ARROIO DO PADRE,RS
2977,430205,BENJAMIN CONSTANT DO SUL,RS
2978,430223,BOA VISTA DO INCRA,RS
2979,430250,BOSSOROCA,RS
2980,430330,CAIBATE,RS
2981,430355,CAMARGO,RS
2982,430420,CANDELARIA,RS
2983,430435,CANDIOTA,RS
2984,430467,CAPIVARI DO SUL,RS
2985,430512,CERRITO,RS
2986,430513,CERRO BRANCO,RS
2987,430544,CHUVISCA,RS
2988,430558,COLINAS,RS
2989,430570,CONDOR,RS
3008,431164,LINHA NOVA,RS
3590,430010,AGUDO,RS
3591,430020,AJURICABA,RS
3592,430040,ALEGRETE,RS
3593,430045,ALEGRIA,RS
3594,430055,ALTO ALEGRE,RS
3595,430063,AMARAL FERRADOR,RS
3596,430064,AMETISTA DO SUL,RS
3597,430070,ANTA GORDA,RS
3598,430080,ANTONIO PRADO,RS
3599,430090,ARATIBA,RS
3600,430100,ARROIO DO MEIO,RS
3601,430110,ARROIO DOS RATOS,RS
3602,430130,ARROIO GRANDE,RS
3603,430150,AUGUSTO PESTANA,RS
3604,430170,BARAO DE COTEGIPE,RS
3605,430175,BARAO DO TRIUNFO,RS
3606,430187,BARRA DO QUARAI,RS
3607,430190,BARRA DO RIBEIRO,RS
3608,430195,BARRA FUNDA,RS
3609,430200,BARROS CASSAL,RS
3827,430003,ACEGUA,RS
3828,430030,ALECRIM,RS
3829,430050,ALPESTRE,RS
3830,430060,ALVORADA,RS
3831,430066,ANDRE DA ROCHA,RS
3832,430085,ARAMBARE,RS
3833,430105,ARROIO DO SAL,RS
3834,430120,ARROIO DO TIGRE,RS
3835,430155,AUREA,RS
3836,430165,BARAO,RS
3837,430180,BARRACAO,RS
3838,430192,BARRA DO RIO AZUL,RS
3839,430210,BENTO GONCALVES,RS
3840,430222,BOA VISTA DO CADEADO,RS
3841,430235,BOM PRINCIPIO,RS
3842,430245,BOQUEIRAO DO LEAO,RS
3843,430270,BUTIA,RS
3844,430290,CACEQUI,RS
3845,430340,CAICARA,RS
3846,430370,CAMPINA DAS MISSOES,RS
3848,430400,CAMPO NOVO,RS
3849,431333,NOVA RAMADA,RS
3850,431339,NOVO CABRAIS,RS
