id,codigo,nome,uf
129,420005,ABDON BATISTA,SC
130,420030,AGRONOMICA,SC
131,420050,AGUAS DE CHAPECO,SC
132,420055,AGUAS FRIAS,SC
133,420070,ALFREDO WAGNER,SC
134,420075,ALTO BELA VISTA,SC
135,420100,ANITA GARIBALDI,SC
136,420125,APIUNA,SC
137,420160,ARROIO TRINTA,SC
138,420180,ATALANTA,SC
139,420195,BALNEARIO ARROIO DO SILVA,SC
140,420208,BANDEIRANTE,SC
141,420210,BARRA VELHA,SC
142,420213,BELA VISTA DO TOLDO,SC
143,420243,BOCAINA DO SUL,SC
144,420250,BOM JARDIM DA SERRA,SC
145,420260,BOM RETIRO,SC
146,420270,BOTUVERA,SC
147,420287,BRUNOPOLIS,SC
148,420315,CALMON,SC
149,420320,CAMBORIU,SC
150,420330,CAMPO ALEGRE,SC
151,420340,CAMPO BELO DO SUL,SC
152,420370,CANELINHA,SC
153,420380,CANOINHAS,SC
154,420410,CAXAMBU DO SUL,SC
155,420420,CHAPECO,SC
156,420430,CONCORDIA,SC
157,420435,CORDILHEIRA ALTA,SC
158,420440,CORONEL FREITAS,SC
159,420445,CORONEL MARTINS,SC
160,420455,CORREIA PINTO,SC
161,420490,DESCANSO,SC
162,420515,DOUTOR PEDRINHO,SC
163,420517,ENTRE RIOS,SC
164,420520,ERVAL VELHO,SC
165,420543,FORMOSA DO SUL,SC
166,420545,FORQUILHINHA,SC
167,420555,FREI ROGERIO,SC
168,420560,GALVAO,SC
169,420590,GASPAR,SC
170,420620,GRAVATAL,SC
171,420630,GUABIRUBA,SC
172,420640,GUARACIABA,SC
173,420660,GUARUJA DO SUL,SC
965,420010,ABELARDO LUZ,SC
966,420150,ARMAZEM,SC
967,420207,BALNEARIO GAIVOTA,SC
968,420253,BOM JESUS,SC
969,420310,CAIBI,SC
970,420360,CAMPOS NOVOS,SC
971,420425,COCAL DO SUL,SC
1419,421930,VIDEIRA,SC
1649,421750,SEARA,SC
1872,420820,ITAJAI,SC
1909,421080,MELEIRO,SC
1913,421300,PINHEIRO PRETO,SC
1927,420170,ASCURRA,SC
1928,420417,CERRO NEGRO,SC
1929,420785,IRATI,SC
1953,421130,NAVEGANTES,SC
1954,421400,PRESIDENTE GETULIO,SC
1955,421780,TAIO,SC
1956,421970,XAXIM,SC
1973,421795,TIGRINHOS,SC
1979,420350,CAMPO ERE,SC
1980,420845,ITAPOA,SC
1981,421225,PASSO DE TORRES,SC
1982,421830,TRES BARRAS,SC
2016,420395,CAPIVARI DE BAIXO,SC
2021,420945,LAJEADO GRANDE,SC
2026,420535,FLOR DO SERTAO,SC
2046,421895,URUPEMA,SC
2047,420140,ARARANGUA,SC
2085,420240,BLUMENAU,SC
2108,420930,LAGES,SC
2111,420110,ANITAPOLIS,SC
2279,420680,IBICARE,SC
2280,420700,ICARA,SC
2281,420720,IMARUI,SC
2282,420750,INDAIAL,SC
2283,420760,IPIRA,SC
2284,420768,IPUACU,SC
2285,420770,IPUMIRIM,SC
2286,420800,ITA,SC
2287,420830,ITAPEMA,SC
2288,420840,ITAPIRANGA,SC
2289,420880,JAGUARUNA,SC
2290,420900,JOACABA,SC
2291,420910,JOINVILLE,SC
2292,420917,JUPIA,SC
2293,420920,LACERDOPOLIS,SC
2294,420950,LAURENTINO,SC
2295,420960,LAURO MULLER,SC
2844,420220,BENEDITO NOVO,SC
2845,420530,FAXINAL DOS GUEDES,SC
2846,420985,LINDOIA DO SUL,SC
2847,421187,PAIAL,SC
2848,421520,ROMELANDIA,SC
2849,421850,TREZE TILIAS,SC
2889,420090,ANGELINA,SC
2926,420020,AGROLANDIA,SC
2927,420120,ANTONIO CARLOS,SC
2928,420127,ARABUTA,SC
2929,420209,BARRA BONITA,SC
2930,420285,BRACO DO TROMBUDO,SC
2931,420290,BRUSQUE,SC
2932,420415,CELSO RAMOS,SC
