id,codigo,nome,uf
352,280040,ARAUA,SE
353,280050,AREIA BRANCA,SE
354,280070,BREJO GRANDE,SE
355,280100,CAMPO DO BRITO,SE
356,280130,CAPELA,SE
357,280150,CARMOPOLIS,SE
358,280160,CEDRO DE SAO JOAO,SE
359,280170,CRISTINAPOLIS,SE
360,280220,FEIRA NOVA,SE
361,280240,GARARU,SE
362,280250,GENERAL MAYNARD,SE
363,280270,ILHA DAS FLORES,SE
364,280280,INDIAROBA,SE
365,280320,ITAPORANGA D'AJUDA,SE
366,280330,JAPARATUBA,SE
367,280360,LARANJEIRAS,SE
368,280380,MALHADA DOS BOIS,SE
369,280410,MOITA BONITA,SE
370,280420,MONTE ALEGRE DE SERGIPE,SE
371,280440,NEOPOLIS,SE
372,280450,NOSSA SENHORA DA GLORIA,SE
373,280470,NOSSA SENHORA DE LOURDES,SE
374,280480,NOSSA SENHORA DO SOCORRO,SE
375,280490,PACATUBA,SE
376,280530,PIRAMBU,SE
377,280550,POCO VERDE,SE
378,280580,RIACHAO DO DANTAS,SE
379,280610,ROSARIO DO CATETE,SE
380,280620,SALGADO,SE
381,280640,SANTANA DO SAO FRANCISCO,SE
382,280660,SANTO AMARO DAS BROTAS,SE
383,280690,SAO FRANCISCO,SE
384,280710,SIMAO DIAS,SE
385,280720,SIRIRI,SE
386,280750,TOMAR DO GERU,SE
387,280760,UMBAUBA,SE
1316,280120,CANINDE DE SAO FRANCISCO,SE
1398,280200,DIVINA PASTORA,SE
1399,280600,RIBEIROPOLIS,SE
2398,280030,ARACAJU,SE
2399,280060,BARRA DOS COQUEIROS,SE
2400,280290,ITABAIANA,SE
2401,280310,ITABI,SE
2402,280350,LAGARTO,SE
2403,280370,MACAMBIRA,SE
2404,280400,MARUIM,SE
2405,280460,NOSSA SENHORA DAS DORES,SE
2406,280510,PEDRINHAS,SE
2407,280560,PORTO DA FOLHA,SE
2408,280650,SANTA ROSA DE LIMA,SE
2409,280670,SAO CRISTOVAO,SE
2537,280520,PINHAO,SE
2538,280680,SAO DOMINGOS,SE
3398,280210,ESTANCIA,SE
3655,280020,AQUIDABA,SE
4041,280010,AMPARO DE SAO FRANCISCO,SE
4042,280067,BOQUIM,SE
4043,280110,CANHOBA,SE
4044,280140,CARIRA,SE
4045,280190,CUMBE,SE
4046,280230,FREI PAULO,SE
4047,280260,GRACHO CARDOSO,SE
4048,280300,ITABAIANINHA,SE
4049,280340,JAPOATA,SE
4050,280390,MALHADOR,SE
4051,280430,MURIBECA,SE
4052,280445,NOSSA SENHORA APARECIDA,SE
4053,280500,PEDRA MOLE,SE
4054,280540,POCO REDONDO,SE
4055,280570,PROPRIA,SE
4056,280590,RIACHUELO,SE
4057,280630,SANTA LUZIA DO ITANHY,SE
4058,280700,SAO MIGUEL DO ALEIXO,SE
4059,280730,TELHA,SE
4306,280740,TOBIAS BARRETO,SE
