id,codigo,nome,uf
1,354105,PRATANIA,SP
2,354130,PRESIDENTE EPITACIO,SP
3,354140,PRESIDENTE PRUDENTE,SP
4,354150,PRESIDENTE VENCESLAU,SP
5,354170,QUATA,SP
6,354180,QUEIROZ,SP
7,354210,RAFARD,SP
8,354220,RANCHARIA,SP
9,354230,REDENCAO DA SERRA,SP
10,354260,REGISTRO,SP
11,354290,RIBEIRAO BONITO,SP
12,354310,RIBEIRAO CORRENTE,SP
13,354350,RIVERSUL,SP
14,354380,RINOPOLIS,SP
15,354410,RIO GRANDE DA SERRA,SP
16,354420,RIOLANDIA,SP
17,354425,ROSANA,SP
18,354430,ROSEIRA,SP
19,354460,SABINO,SP
20,354470,SAGRES,SP
21,354510,SALMOURAO,SP
22,354530,SALTO DE PIRAPORA,SP
23,354550,SANDOVALINA,SP
24,354600,SANTA BRANCA,SP
25,354610,SANTA CLARA D'OESTE,SP
26,354620,SANTA CRUZ DA CONCEICAO,SP
27,354630,SANTA CRUZ DAS PALMEIRAS,SP
28,354650,SANTA ERNESTINA,SP
29,354660,SANTA FE DO SUL,SP
30,354670,SANTA GERTRUDES,SP
31,354700,SANTA MARIA DA SERRA,SP
32,354750,SANTA RITA DO PASSA QUATRO,SP
33,354760,SANTA ROSA DE VITERBO,SP
34,354765,SANTA SALETE,SP
35,354770,SANTO ANASTACIO,SP
36,354820,SANTO ANTONIO DO PINHAL,SP
37,354830,SANTO EXPEDITO,SP
38,354860,SAO BENTO DO SAPUCAI,SP
39,354880,SAO CAETANO DO SUL,SP
40,354900,SAO FRANCISCO,SP
41,354910,SAO JOAO DA BOA VISTA,SP
42,354925,SAO JOAO DE IRACEMA,SP
87,351700,GETULINA,SP
88,351790,GUARACI,SP
89,351840,GUARATINGUETA,SP
90,351885,GUATAPARA,SP
91,351907,HORTOLANDIA,SP
92,351970,IBIUNA,SP
93,352010,IGARAPAVA,SP
94,352042,ILHA COMPRIDA,SP
418,354940,SAO JOAQUIM DA BARRA,SP
661,350060,AGUAS DE SAO PEDRO,SP
