id,codigo,nome,uf
697,172110,TOCANTINIA,TO
1258,170200,ARAGUACU,TO
1259,170320,BERNARDO SAYAO,TO
1260,171070,ITAGUATINS,TO
1261,171330,MIRANORTE,TO
1262,171610,PARAISO DO TOCANTINS,TO
1263,172020,SAO MIGUEL DO TOCANTINS,TO
1344,170388,CARMOLANDIA,TO
1345,170560,CONCEICAO DO TOCANTINS,TO
1346,170820,FORMOSO DO ARAGUAIA,TO
1347,171195,LAGOA DO TOCANTINS,TO
1348,171380,PALMEIRAS DO TOCANTINS,TO
1349,171670,COLMEIA,TO
1350,171830,PRAIA NORTE,TO
1351,171880,SAMPAIO,TO
1352,172010,SAO BENTO DO TOCANTINS,TO
1466,170070,ALVORADA,TO
1467,170220,ARAGUATINS,TO
1468,170307,BARRA DO OURO,TO
1469,170382,CACHOEIRINHA,TO
1470,170900,GOIATINS,TO
1471,171500,NOVA ROSALANDIA,TO
1472,171790,PONTE ALTA DO TOCANTINS,TO
1473,172125,TUPIRAMA,TO
1828,170330,BOM JESUS DO TOCANTINS,TO
1829,171488,NOVA OLINDA,TO
1830,172120,TOCANTINOPOLIS,TO
2153,170025,ABREULANDIA,TO
2154,170030,AGUIARNOPOLIS,TO
2155,170040,ALMAS,TO
2156,170100,ANANAS,TO
2157,170110,APARECIDA DO RIO NEGRO,TO
2158,170130,ARAGOMINAS,TO
2159,170210,ARAGUAINA,TO
2160,170215,ARAGUANA,TO
2161,170240,ARRAIAS,TO
2162,170255,AUGUSTINOPOLIS,TO
2163,170290,AXIXA DO TOCANTINS,TO
2164,170300,BABACULANDIA,TO
2165,170310,BARROLANDIA,TO
2166,170386,CARIRI DO TOCANTINS,TO
2167,170389,CARRASCO BONITO,TO
2168,170410,CENTENARIO,TO
2169,170510,CHAPADA DA NATIVIDADE,TO
2170,170550,COLINAS DO TOCANTINS,TO
2171,170555,COMBINADO,TO
2172,170625,CRIXAS DO TOCANTINS,TO
2173,170650,DARCINOPOLIS,TO
2174,170730,DUERE,TO
2175,170740,ESPERANTINA,TO
2176,170755,FATIMA,TO
2177,170825,FORTALEZA DO TABOCAO,TO
2178,170930,GUARAI,TO
2179,171050,ITACAJA,TO
2180,171090,ITAPIRATINS,TO
2181,171110,ITAPORA DO TOCANTINS,TO
2182,171180,JUARINA,TO
2183,171190,LAGOA DA CONFUSAO,TO
2184,171215,LAVANDEIRA,TO
2185,171250,MARIANOPOLIS DO TOCANTINS,TO
2186,171280,MAURILANDIA DO TOCANTINS,TO
2187,171320,MIRACEMA DO TOCANTINS,TO
2188,171370,MONTE SANTO DO TOCANTINS,TO
2189,171395,MURICILANDIA,TO
2190,171515,NOVO ALEGRE,TO
2191,171525,NOVO JARDIM,TO
2192,171570,PALMEIRANTE,TO
2193,171575,PALMEIROPOLIS,TO
2194,171660,PEIXE,TO
2195,171665,PEQUIZEIRO,TO
2196,171720,PIRAQUE,TO
2197,171750,PIUM,TO
2198,171800,PORTO ALEGRE DO TOCANTINS,TO
2199,171820,PORTO NACIONAL,TO
2200,171850,RECURSOLANDIA,TO
2201,171870,RIO DOS BOIS,TO
2202,171884,SANDOLANDIA,TO
2732,170035,ALIANCA DO TOCANTINS,TO
2733,170105,ANGICO,TO
2734,170190,ARAGUACEMA,TO
2735,170230,ARAPOEMA,TO
2736,170270,AURORA DO TOCANTINS,TO
2737,170305,BANDEIRANTES DO TOCANTINS,TO
2738,170370,BREJINHO DE NAZARE,TO
2739,170384,CAMPOS LINDOS,TO
2740,170390,CASEARA,TO
2741,170460,CHAPADA DE AREIA,TO
2742,170610,CRISTALANDIA,TO
2743,170700,DIANOPOLIS,TO
2744,170720,DOIS IRMAOS DO TOCANTINS,TO
2745,170765,FIGUEIROPOLIS,TO
2746,170830,GOIANORTE,TO
2747,170980,IPUEIRAS,TO
2748,171150,JAU DO TOCANTINS,TO
2749,171200,LAJEADO,TO
2750,171240,LIZARDA,TO
2751,171270,MATEIROS,TO
2752,171360,MONTE DO CARMO,TO
2753,171420,NATIVIDADE,TO
2754,171510,NOVO ACORDO,TO
2755,171550,OLIVEIRA DE FATIMA,TO
2756,171700,PINDORAMA DO TOCANTINS,TO
2757,171780,PONTE ALTA DO BOM JESUS,TO
2758,171840,PRESIDENTE KENNEDY,TO
2993,170710,DIVINOPOLIS DO TOCANTINS,TO
2999,170360,BRASILANDIA DO TOCANTINS,TO
3000,171845,PUGMIL,TO
3018,171630,PAU D'ARCO,TO
3034,170770,FILADELFIA,TO
3361,171430,NAZARE,TO
4286,170600,COUTO MAGALHAES,TO
4287,171650,PEDRO AFONSO,TO
4426,171886,SANTA FE DO ARAGUAIA,TO
4427,171889,SANTA RITA DO TOCANTINS,TO
4428,171890,SANTA ROSA DO TOCANTINS,TO
4429,172000,SANTA TEREZINHA DO TOCANTINS,TO
4430,172015,SAO FELIX DO TOCANTINS,TO
4431,172025,SAO SALVADOR DO TOCANTINS,TO
4432,172049,SAO VALERIO DA NATIVIDADE,TO
4433,172065,SILVANOPOLIS,TO
4434,172080,SITIO NOVO DO TOCANTINS,TO
4435,172090,TAGUATINGA,TO
4436,172097,TALISMA,TO
4437,172100,PALMAS,TO
4438,172208,WANDERLANDIA,TO
4439,172210,XAMBIOA,TO
4519,171855,RIACHINHO,TO
4520,171875,RIO SONO,TO
4521,171888,SANTA MARIA DO TOCANTINS,TO
4522,171900,SANTA TEREZA DO TOCANTINS,TO
4523,172030,SAO SEBASTIAO DO TOCANTINS,TO
4524,172085,SUCUPIRA,TO
4525,172093,TAIPAS DO TOCANTINS,TO
4526,172130,TUPIRATINS,TO
5224,170380,BURITI DO TOCANTINS,TO
5225,171245,LUZINOPOLIS,TO
5226,171620,PARANA,TO
5227,171865,RIO DA CONCEICAO,TO
5592,170950,GURUPI,TO
